№;Линк категории поставщика;channel;prefix;coef;threshold;Номер_групи;Назва_групи;Ідентифікатор_підрозділу;Посилання_підрозділу;Особисті_нотатки;Ярлик;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики
185;"https://viatec.ua/catalog/alarm-detector/0:0;proizvoditel:dahua,hikvision,396,402,405,593,625,626,652,ezviz,844,884,913,924,tiras,1016,1027,1109,1123,1130,1167,arton,smart-kit,emos;77:ruh-ta-video";site;;0,85;1,2;152091016;Охранные датчики;302302;https://prom.ua/Ohrannye-izveschateli;V;;Тип устройства;;рух та камера
186;"https://viatec.ua/catalog/alarm-detector/0:0;proizvoditel:dahua,hikvision,396,402,405,593,625,626,652,ezviz,844,884,913,924,tiras,1016,1027,1109,1123,1130,1167,arton,smart-kit,emos;77:ruh-ta-video";prom;prom_;0,999;1.27;140905382;Безопасность и комфорт;302302;https://prom.ua/Ohrannye-izveschateli;V, Vmin, noindex;;Тип устройства;;рух та камера
187;"https://viatec.ua/catalog/alarm-detector/0:0;proizvoditel:dahua,hikvision,396,402,405,593,625,626,652,ezviz,844,884,913,924,tiras,1016,1027,1109,1123,1130,1167,arton,smart-kit,emos;77:291";site;;0,85;1,2;152091016;Охранные датчики;302302;https://prom.ua/Ohrannye-izveschateli;V;;Тип устройства;;розбиття скла
188;"https://viatec.ua/catalog/alarm-detector/0:0;proizvoditel:dahua,hikvision,396,402,405,593,625,626,652,ezviz,844,884,913,924,tiras,1016,1027,1109,1123,1130,1167,arton,smart-kit,emos;77:291";prom;prom_;0,999;1.27;140905382;Безопасность и комфорт;302302;https://prom.ua/Ohrannye-izveschateli;V, Vmin, noindex;;Тип устройства;;розбиття скла
189;"https://viatec.ua/catalog/alarm-detector/0:0;proizvoditel:dahua,hikvision,396,402,405,593,625,626,652,ezviz,844,884,913,924,tiras,1016,1027,1109,1123,1130,1167,arton,smart-kit,emos;77:624";site;;0,85;1,2;152091016;Охранные датчики;302302;https://prom.ua/Ohrannye-izveschateli;V;;Тип устройства;;рух і розбиття скла
190;"https://viatec.ua/catalog/alarm-detector/0:0;proizvoditel:dahua,hikvision,396,402,405,593,625,626,652,ezviz,844,884,913,924,tiras,1016,1027,1109,1123,1130,1167,arton,smart-kit,emos;77:624";prom;prom_;0,999;1.27;140905382;Безопасность и комфорт;302302;https://prom.ua/Ohrannye-izveschateli;V, Vmin, noindex;;Тип устройства;;рух і розбиття скла
191;"https://viatec.ua/catalog/alarm-detector/0:0;proizvoditel:dahua,hikvision,396,402,405,593,625,626,652,ezviz,844,884,913,924,tiras,1016,1027,1109,1123,1130,1167,arton,smart-kit,emos;77:296";site;;0,85;1,2;152091016;Охранные датчики;302302;https://prom.ua/Ohrannye-izveschateli;V;;Тип устройства;;затоплення
192;"https://viatec.ua/catalog/alarm-detector/0:0;proizvoditel:dahua,hikvision,396,402,405,593,625,626,652,ezviz,844,884,913,924,tiras,1016,1027,1109,1123,1130,1167,arton,smart-kit,emos;77:296";prom;prom_;0,999;1.27;140905382;Безопасность и комфорт;302302;https://prom.ua/Ohrannye-izveschateli;V, Vmin, noindex;;Тип устройства;;затоплення
193;"https://viatec.ua/catalog/alarm-detector/0:0;proizvoditel:dahua,hikvision,396,402,405,593,625,626,652,ezviz,844,884,913,924,tiras,1016,1027,1109,1123,1130,1167,arton,smart-kit,emos;77:627";site;;0,85;1,2;152091016;Охранные датчики;302302;https://prom.ua/Ohrannye-izveschateli;V;;Тип устройства;;ІЧ бар'єр
194;"https://viatec.ua/catalog/alarm-detector/0:0;proizvoditel:dahua,hikvision,396,402,405,593,625,626,652,ezviz,844,884,913,924,tiras,1016,1027,1109,1123,1130,1167,arton,smart-kit,emos;77:627";prom;prom_;0,999;1.27;140905382;Безопасность и комфорт;302302;https://prom.ua/Ohrannye-izveschateli;V, Vmin, noindex;;Тип устройства;;ІЧ бар'єр
195;"https://viatec.ua/catalog/alarm-detector/0:0;proizvoditel:dahua,hikvision,396,402,405,593,625,626,652,ezviz,844,884,913,924,tiras,1016,1027,1109,1123,1130,1167,arton,smart-kit,emos;77:292";site;;0,85;1,2;152091016;Охранные датчики;302302;https://prom.ua/Ohrannye-izveschateli;V;;Тип устройства;;відкриття
196;"https://viatec.ua/catalog/alarm-detector/0:0;proizvoditel:dahua,hikvision,396,402,405,593,625,626,652,ezviz,844,884,913,924,tiras,1016,1027,1109,1123,1130,1167,arton,smart-kit,emos;77:292";prom;prom_;0,999;1.27;140905382;Безопасность и комфорт;302302;https://prom.ua/Ohrannye-izveschateli;V, Vmin, noindex;;Тип устройства;;відкриття
197;"https://viatec.ua/catalog/alarm-detector/0:0;proizvoditel:dahua,hikvision,396,402,405,593,625,626,652,ezviz,844,884,913,924,tiras,1016,1027,1109,1123,1130,1167,arton,smart-kit,emos;77:628";site;;0,85;1,2;152091016;Охранные датчики;302302;https://prom.ua/Ohrannye-izveschateli;V;;Тип устройства;;відкриття і вібрації
198;"https://viatec.ua/catalog/alarm-detector/0:0;proizvoditel:dahua,hikvision,396,402,405,593,625,626,652,ezviz,844,884,913,924,tiras,1016,1027,1109,1123,1130,1167,arton,smart-kit,emos;77:628";prom;prom_;0,999;1.27;140905382;Безопасность и комфорт;302302;https://prom.ua/Ohrannye-izveschateli;V, Vmin, noindex;;Тип устройства;;відкриття і вібрації
199;"https://viatec.ua/catalog/alarm-detector/0:0;proizvoditel:dahua,hikvision,396,402,405,593,625,626,652,ezviz,844,884,913,924,tiras,1016,1027,1109,1123,1130,1167,arton,smart-kit,emos;77:vidkrittia-nahil";site;;0,85;1,2;152091016;Охранные датчики;302302;https://prom.ua/Ohrannye-izveschateli;V;;Тип устройства;;відкриття та нахилу
200;"https://viatec.ua/catalog/alarm-detector/0:0;proizvoditel:dahua,hikvision,396,402,405,593,625,626,652,ezviz,844,884,913,924,tiras,1016,1027,1109,1123,1130,1167,arton,smart-kit,emos;77:vidkrittia-nahil";prom;prom_;0,999;1.27;140905382;Безопасность и комфорт;302302;https://prom.ua/Ohrannye-izveschateli;V, Vmin, noindex;;Тип устройства;;відкриття та нахилу
201;"https://viatec.ua/catalog/alarm-detector/0:0;proizvoditel:dahua,hikvision,396,402,405,593,625,626,652,ezviz,844,884,913,924,tiras,1016,1027,1109,1123,1130,1167,arton,smart-kit,emos;77:vidkrittia-vibracia-nahil";site;;0,85;1,2;152091016;Охранные датчики;302302;https://prom.ua/Ohrannye-izveschateli;V;;Тип устройства;;відкриття, вібрації, нахилу
202;"https://viatec.ua/catalog/alarm-detector/0:0;proizvoditel:dahua,hikvision,396,402,405,593,625,626,652,ezviz,844,884,913,924,tiras,1016,1027,1109,1123,1130,1167,arton,smart-kit,emos;77:vidkrittia-vibracia-nahil";prom;prom_;0,999;1.27;140905382;Безопасность и комфорт;302302;https://prom.ua/Ohrannye-izveschateli;V, Vmin, noindex;;Тип устройства;;відкриття, вібрації, нахилу
203;"https://viatec.ua/catalog/alarm-detector/0:0;proizvoditel:dahua,hikvision,396,402,405,593,625,626,652,ezviz,844,884,913,924,tiras,1016,1027,1109,1123,1130,1167,arton,smart-kit,emos;77:297";site;;0,85;1,2;152091016;Охранные датчики;302302;https://prom.ua/Ohrannye-izveschateli;V;;Тип устройства;;диму
204;"https://viatec.ua/catalog/alarm-detector/0:0;proizvoditel:dahua,hikvision,396,402,405,593,625,626,652,ezviz,844,884,913,924,tiras,1016,1027,1109,1123,1130,1167,arton,smart-kit,emos;77:297";prom;prom_;0,999;1.27;140905382;Безопасность и комфорт;302302;https://prom.ua/Ohrannye-izveschateli;V, Vmin, noindex;;Тип устройства;;диму
205;"https://viatec.ua/catalog/alarm-detector/0:0;proizvoditel:dahua,hikvision,396,402,405,593,625,626,652,ezviz,844,884,913,924,tiras,1016,1027,1109,1123,1130,1167,arton,smart-kit,emos;77:294";site;;0,85;1,2;152091016;Охранные датчики;302302;https://prom.ua/Ohrannye-izveschateli;V;;Тип устройства;;тепла
206;"https://viatec.ua/catalog/alarm-detector/0:0;proizvoditel:dahua,hikvision,396,402,405,593,625,626,652,ezviz,844,884,913,924,tiras,1016,1027,1109,1123,1130,1167,arton,smart-kit,emos;77:294";prom;prom_;0,999;1.27;140905382;Безопасность и комфорт;302302;https://prom.ua/Ohrannye-izveschateli;V, Vmin, noindex;;Тип устройства;;тепла
207;"https://viatec.ua/catalog/alarm-detector/0:0;proizvoditel:dahua,hikvision,396,402,405,593,625,626,652,ezviz,844,884,913,924,tiras,1016,1027,1109,1123,1130,1167,arton,smart-kit,emos;77:3336977";site;;0,85;1,2;152091016;Охранные датчики;302302;https://prom.ua/Ohrannye-izveschateli;V;;Тип устройства;;тепла та диму
208;"https://viatec.ua/catalog/alarm-detector/0:0;proizvoditel:dahua,hikvision,396,402,405,593,625,626,652,ezviz,844,884,913,924,tiras,1016,1027,1109,1123,1130,1167,arton,smart-kit,emos;77:3336977";prom;prom_;0,999;1.27;140905382;Безопасность и комфорт;302302;https://prom.ua/Ohrannye-izveschateli;V, Vmin, noindex;;Тип устройства;;тепла та диму
209;"https://viatec.ua/catalog/alarm-detector/0:0;proizvoditel:dahua,hikvision,396,402,405,593,625,626,652,ezviz,844,884,913,924,tiras,1016,1027,1109,1123,1130,1167,arton,smart-kit,emos;77:tepla-chadnogo";site;;0,85;1,2;152091016;Охранные датчики;302302;https://prom.ua/Ohrannye-izveschateli;V;;Тип устройства;;тепла та чадного газу
210;"https://viatec.ua/catalog/alarm-detector/0:0;proizvoditel:dahua,hikvision,396,402,405,593,625,626,652,ezviz,844,884,913,924,tiras,1016,1027,1109,1123,1130,1167,arton,smart-kit,emos;77:tepla-chadnogo";prom;prom_;0,999;1.27;140905382;Безопасность и комфорт;302302;https://prom.ua/Ohrannye-izveschateli;V, Vmin, noindex;;Тип устройства;;тепла та чадного газу
211;"https://viatec.ua/catalog/alarm-detector/0:0;proizvoditel:dahua,hikvision,396,402,405,593,625,626,652,ezviz,844,884,913,924,tiras,1016,1027,1109,1123,1130,1167,arton,smart-kit,emos;77:298";site;;0,85;1,2;152091016;Охранные датчики;302302;https://prom.ua/Ohrannye-izveschateli;V;;Тип устройства;;тепла і вологості
212;"https://viatec.ua/catalog/alarm-detector/0:0;proizvoditel:dahua,hikvision,396,402,405,593,625,626,652,ezviz,844,884,913,924,tiras,1016,1027,1109,1123,1130,1167,arton,smart-kit,emos;77:298";prom;prom_;0,999;1.27;140905382;Безопасность и комфорт;302302;https://prom.ua/Ohrannye-izveschateli;V, Vmin, noindex;;Тип устройства;;тепла і вологості
213;"https://viatec.ua/catalog/alarm-detector/0:0;proizvoditel:dahua,hikvision,396,402,405,593,625,626,652,ezviz,844,884,913,924,tiras,1016,1027,1109,1123,1130,1167,arton,smart-kit,emos;77:t-v-co2";site;;0,85;1,2;152091016;Охранные датчики;302302;https://prom.ua/Ohrannye-izveschateli;V;;Тип устройства;;тепла, вологості та вуглекислого газу
214;"https://viatec.ua/catalog/alarm-detector/0:0;proizvoditel:dahua,hikvision,396,402,405,593,625,626,652,ezviz,844,884,913,924,tiras,1016,1027,1109,1123,1130,1167,arton,smart-kit,emos;77:t-v-co2";prom;prom_;0,999;1.27;140905382;Безопасность и комфорт;302302;https://prom.ua/Ohrannye-izveschateli;V, Vmin, noindex;;Тип устройства;;тепла, вологості та вуглекислого газу
215;"https://viatec.ua/catalog/alarm-detector/0:0;proizvoditel:dahua,hikvision,396,402,405,593,625,626,652,ezviz,844,884,913,924,tiras,1016,1027,1109,1123,1130,1167,arton,smart-kit,emos;77:dim-teplo-chadniigaz";site;;0,85;1,2;152091016;Охранные датчики;302302;https://prom.ua/Ohrannye-izveschateli;V;;Тип устройства;;тепла, диму, чадного газу
216;"https://viatec.ua/catalog/alarm-detector/0:0;proizvoditel:dahua,hikvision,396,402,405,593,625,626,652,ezviz,844,884,913,924,tiras,1016,1027,1109,1123,1130,1167,arton,smart-kit,emos;77:dim-teplo-chadniigaz";prom;prom_;0,999;1.27;140905382;Безопасность и комфорт;302302;https://prom.ua/Ohrannye-izveschateli;V, Vmin, noindex;;Тип устройства;;тепла, диму, чадного газу
217;"https://viatec.ua/catalog/alarm-detector/0:0;proizvoditel:dahua,hikvision,396,402,405,593,625,626,652,ezviz,844,884,913,924,tiras,1016,1027,1109,1123,1130,1167,arton,smart-kit,emos;77:295";site;;0,85;1,2;152091016;Охранные датчики;302302;https://prom.ua/Ohrannye-izveschateli;V;;Тип устройства;;вібрації
218;"https://viatec.ua/catalog/alarm-detector/0:0;proizvoditel:dahua,hikvision,396,402,405,593,625,626,652,ezviz,844,884,913,924,tiras,1016,1027,1109,1123,1130,1167,arton,smart-kit,emos;77:295";prom;prom_;0,999;1.27;140905382;Безопасность и комфорт;302302;https://prom.ua/Ohrannye-izveschateli;V, Vmin, noindex;;Тип устройства;;вібрації
219;"https://viatec.ua/catalog/alarm-detector/0:0;proizvoditel:dahua,hikvision,396,402,405,593,625,626,652,ezviz,844,884,913,924,tiras,1016,1027,1109,1123,1130,1167,arton,smart-kit,emos;77:metanu";site;;0,85;1,2;152091016;Охранные датчики;302302;https://prom.ua/Ohrannye-izveschateli;V;;Тип устройства;;метану
220;"https://viatec.ua/catalog/alarm-detector/0:0;proizvoditel:dahua,hikvision,396,402,405,593,625,626,652,ezviz,844,884,913,924,tiras,1016,1027,1109,1123,1130,1167,arton,smart-kit,emos;77:metanu";prom;prom_;0,999;1.27;140905382;Безопасность и комфорт;302302;https://prom.ua/Ohrannye-izveschateli;V, Vmin, noindex;;Тип устройства;;метану
221;"https://viatec.ua/catalog/alarm-detector/0:0;proizvoditel:dahua,hikvision,396,402,405,593,625,626,652,ezviz,844,884,913,924,tiras,1016,1027,1109,1123,1130,1167,arton,smart-kit,emos;77:chadnogo-gazu";site;;0,85;1,2;152091016;Охранные датчики;302302;https://prom.ua/Ohrannye-izveschateli;V;;Тип устройства;;чадного газу
222;"https://viatec.ua/catalog/alarm-detector/0:0;proizvoditel:dahua,hikvision,396,402,405,593,625,626,652,ezviz,844,884,913,924,tiras,1016,1027,1109,1123,1130,1167,arton,smart-kit,emos;77:chadnogo-gazu";prom;prom_;0,999;1.27;140905382;Безопасность и комфорт;302302;https://prom.ua/Ohrannye-izveschateli;V, Vmin, noindex;;Тип устройства;;чадного газу
223;"https://viatec.ua/catalog/alarm-detector/0:0;proizvoditel:dahua,hikvision,396,402,405,593,625,626,652,ezviz,844,884,913,924,tiras,1016,1027,1109,1123,1130,1167,arton,smart-kit,emos;77:787";site;;0,85;1,2;152091016;Охранные датчики;302302;https://prom.ua/Ohrannye-izveschateli;V;;Тип устройства;;радар
224;"https://viatec.ua/catalog/alarm-detector/0:0;proizvoditel:dahua,hikvision,396,402,405,593,625,626,652,ezviz,844,884,913,924,tiras,1016,1027,1109,1123,1130,1167,arton,smart-kit,emos;77:787";prom;prom_;0,999;1.27;140905382;Безопасность и комфорт;302302;https://prom.ua/Ohrannye-izveschateli;V, Vmin, noindex;;Тип устройства;;радар
225;"https://viatec.ua/catalog/alarm-detector/0:0;proizvoditel:dahua,hikvision,396,402,405,593,625,626,652,ezviz,844,884,913,924,tiras,1016,1027,1109,1123,1130,1167,arton,smart-kit,emos;77:293";site;;0,85;1,2;152091016;Охранные датчики;302302;https://prom.ua/Ohrannye-izveschateli;V;;Тип устройства;;охорона периметра
226;"https://viatec.ua/catalog/alarm-detector/0:0;proizvoditel:dahua,hikvision,396,402,405,593,625,626,652,ezviz,844,884,913,924,tiras,1016,1027,1109,1123,1130,1167,arton,smart-kit,emos;77:293";prom;prom_;0,999;1.27;140905382;Безопасность и комфорт;302302;https://prom.ua/Ohrannye-izveschateli;V, Vmin, noindex;;Тип устройства;;охорона периметра
227;"https://viatec.ua/catalog/alarm-detector/0:0;proizvoditel:dahua,hikvision,396,402,405,593,625,626,652,ezviz,844,884,913,924,tiras,1016,1027,1109,1123,1130,1167,arton,smart-kit,emos;77:222323";site;;0,85;1,2;152091016;Охранные датчики;302302;https://prom.ua/Ohrannye-izveschateli;V;;Тип устройства;;управління ручний
228;"https://viatec.ua/catalog/alarm-detector/0:0;proizvoditel:dahua,hikvision,396,402,405,593,625,626,652,ezviz,844,884,913,924,tiras,1016,1027,1109,1123,1130,1167,arton,smart-kit,emos;77:222323";prom;prom_;0,999;1.27;140905382;Безопасность и комфорт;302302;https://prom.ua/Ohrannye-izveschateli;V, Vmin, noindex;;Тип устройства;;управління ручний
229;"https://viatec.ua/catalog/alarm-detector/0:0;proizvoditel:dahua,hikvision,396,402,405,593,625,626,652,ezviz,844,884,913,924,tiras,1016,1027,1109,1123,1130,1167,arton,smart-kit,emos;77:999889";site;;0,85;1,2;152091016;Охранные датчики;302302;https://prom.ua/Ohrannye-izveschateli;V;;Тип устройства;;пожежний ручний
230;"https://viatec.ua/catalog/alarm-detector/0:0;proizvoditel:dahua,hikvision,396,402,405,593,625,626,652,ezviz,844,884,913,924,tiras,1016,1027,1109,1123,1130,1167,arton,smart-kit,emos;77:999889";prom;prom_;0,999;1.27;140905382;Безопасность и комфорт;302302;https://prom.ua/Ohrannye-izveschateli;V, Vmin, noindex;;Тип устройства;;пожежний ручний
231;"https://viatec.ua/catalog/alarm-detector/0:0;proizvoditel:dahua,hikvision,396,402,405,593,625,626,652,ezviz,844,884,913,924,tiras,1016,1027,1109,1123,1130,1167,arton,smart-kit,emos;77:videomodul";site;;0,85;1,2;152091016;Охранные датчики;302302;https://prom.ua/Ohrannye-izveschateli;V;;Тип устройства;;відеомодуль
232;"https://viatec.ua/catalog/alarm-detector/0:0;proizvoditel:dahua,hikvision,396,402,405,593,625,626,652,ezviz,844,884,913,924,tiras,1016,1027,1109,1123,1130,1167,arton,smart-kit,emos;77:videomodul";prom;prom_;0,999;1.27;140905382;Безопасность и комфорт;302302;https://prom.ua/Ohrannye-izveschateli;V, Vmin, noindex;;Тип устройства;;відеомодуль
233;"https://viatec.ua/catalog/alarm-detector/0:0;proizvoditel:dahua,hikvision,396,402,405,593,625,626,652,ezviz,844,884,913,924,tiras,1016,1027,1109,1123,1130,1167,arton,smart-kit,emos;77:prinada";site;;0,85;1,2;152091016;Охранные датчики;302302;https://prom.ua/Ohrannye-izveschateli;V;;Тип устройства;;принада
234;"https://viatec.ua/catalog/alarm-detector/0:0;proizvoditel:dahua,hikvision,396,402,405,593,625,626,652,ezviz,844,884,913,924,tiras,1016,1027,1109,1123,1130,1167,arton,smart-kit,emos;77:prinada";prom;prom_;0,999;1.27;140905382;Безопасность и комфорт;302302;https://prom.ua/Ohrannye-izveschateli;V, Vmin, noindex;;Тип устройства;;принада
235;"https://viatec.ua/catalog/alarm-siren/0:0;proizvoditel:dahua,hikvision,ezviz,844";site;;0,85;1,2;152091894;Охранные сирены;300402;https://prom.ua/Sireny-signalnye;V;;;;
236;"https://viatec.ua/catalog/alarm-siren/0:0;proizvoditel:dahua,hikvision,ezviz,844";prom;prom_;0,999;1.27;140905382;Безопасность и комфорт;302302;https://prom.ua/Ohrannye-izveschateli;V, VMAX, noindex;;;;
237;"https://viatec.ua/catalog/alarm-siren/0:0;proizvoditel:396,402,405,593,652,tiras,1016";site;;0,85;1,2;152091894;Охранные сирены;300402;https://prom.ua/Sireny-signalnye;V;;;;
238;"https://viatec.ua/catalog/alarm-siren/0:0;proizvoditel:396,402,405,593,652,tiras,1016";prom;prom_;0,999;1.27;140905382;Безопасность и комфорт;302302;https://prom.ua/Ohrannye-izveschateli;V, Vmin, noindex;;;;
239;"https://viatec.ua/catalog/alarm-key/0:0;proizvoditel:dahua,hikvision,ezviz,844";site;;0,85;1,2;152092523;Устройства управления охранной сигнализацией;302307;https://prom.ua/Brelki-pulty-dlya-ohrannyh-sistem;V;;;;
240;"https://viatec.ua/catalog/alarm-key/0:0;proizvoditel:dahua,hikvision,ezviz,844";prom;prom_;0,999;1.29;140905382;Безопасность и комфорт;302307;https://prom.ua/Brelki-pulty-dlya-ohrannyh-sistem;V, VMAX, noindex;;;;
241;"https://viatec.ua/catalog/alarm-key/0:0;proizvoditel:396,402,405,593,924,tiras,1016,1092,1109,smart-kit";site;;0,85;1,2;152092523;Устройства управления охранной сигнализацией;302307;https://prom.ua/Brelki-pulty-dlya-ohrannyh-sistem;V;;;;
242;"https://viatec.ua/catalog/alarm-key/0:0;proizvoditel:396,402,405,593,924,tiras,1016,1092,1109,smart-kit";prom;prom_;0,999;1.29;140905382;Безопасность и комфорт;302307;https://prom.ua/Brelki-pulty-dlya-ohrannyh-sistem;V, Vmin, noindex;;;;
243;"https://viatec.ua/catalog/zashita-ot-potopa/0:0;proizvoditel:dahua,844";site;;0,85;1,2;152092600;Устройства для защиты от потопа;300418;https://prom.ua/Sistemy-zashchity-ot-potopa;V;;Тип устройства;;Система захисту від протікання
244;"https://viatec.ua/catalog/zashita-ot-potopa/0:0;proizvoditel:dahua,844";prom;prom_;0,999;1.30;140905382;Безопасность и комфорт;300418;https://prom.ua/Sistemy-zashchity-ot-potopa;V, VMAX, noindex;;Тип устройства;;Система захисту від протікання
245;"https://viatec.ua/catalog/zashita-ot-potopa/0:0;proizvoditel:1160,1162,3997457,mastino";site;;0,85;1,2;152092600;Устройства для защиты от потопа;300418;https://prom.ua/Sistemy-zashchity-ot-potopa;V;;Тип устройства;;Система захисту від протікання
246;"https://viatec.ua/catalog/zashita-ot-potopa/0:0;proizvoditel:1160,1162,3997457,mastino";prom;prom_;0,999;1.30;140905382;Безопасность и комфорт;300418;https://prom.ua/Sistemy-zashchity-ot-potopa;V, Vmin, noindex;;Тип устройства;;Система захисту від протікання
247;https://viatec.ua/catalog/pozharnie-priemno-kontrolnie-pribori/0:0;site;;0,85;1,2;152092613;Пожарные приемо-контрольные приборы;302303;https://prom.ua/Priemno-kontrolnye-pribory-i-pribory-upravleniya;V;;Тип устройства;;Пожежні централі
248;https://viatec.ua/catalog/pozharnie-priemno-kontrolnie-pribori/0:0;prom;prom_;0,999;1.2;140905382;Безопасность и комфорт;302303;https://prom.ua/Priemno-kontrolnye-pribory-i-pribory-upravleniya;V, Vmin, noindex;;Тип устройства;;Пожежні централі
249;"https://viatec.ua/catalog/moduli-ppkp/0:0;proizvoditel:dahua,tiras,arton,firestop";site;;0,85;1,2;4551903;Комплектующие для сигнализации;302306;https://prom.ua/Ohrannye-sistemy-i-signalizatsii;V;;Тип устройства;;Додаткові пожежні пристрої
250;"https://viatec.ua/catalog/moduli-ppkp/0:0;proizvoditel:dahua,tiras,arton,firestop";prom;prom_;0,999;1.31;140905382;Безопасность и комфорт;302306;https://prom.ua/Ohrannye-sistemy-i-signalizatsii;V, Vmin, noindex;;Тип устройства;;Додаткові пожежні пристрої
251;"https://viatec.ua/catalog/alarm-accessories/0:0;proizvoditel:dahua,hikvision,396,402,593,652,ezviz,844,884,924,tiras,1027,1030,arton,smart-kit";site;;0,85;1,2;4551903;Комплектующие для сигнализации;302306;https://prom.ua/Ohrannye-sistemy-i-signalizatsii;V;;Тип устройства;;Комплектуючі для сигналізації
252;"https://viatec.ua/catalog/alarm-accessories/0:0;proizvoditel:dahua,hikvision,396,402,593,652,ezviz,844,884,924,tiras,1027,1030,arton,smart-kit";prom;prom_;0,999;1.31;140905382;Безопасность и комфорт;302306;https://prom.ua/Ohrannye-sistemy-i-signalizatsii;V, Vmin, noindex;;Тип устройства;;Комплектуючі для сигналізації
253;"https://viatec.ua/catalog/access-control-lock/0:0;70:266";site;;0,85;1,2;90997501;Замки;301010;https://prom.ua/Mehanicheskie-zamki;V;;Тип устройства;;розумний замок
254;"https://viatec.ua/catalog/access-control-lock/0:0;70:266";prom;prom_;0,85;1.30;140905382;Безопасность и комфорт;301010;https://prom.ua/Mehanicheskie-zamki;V, Vmin, noindex;;Тип устройства;;розумний замок
255;"https://viatec.ua/catalog/access-control-lock/0:0;70:267";site;;0,85;1,2;90997501;Замки;301010;https://prom.ua/Mehanicheskie-zamki;V;;Тип устройства;;замок
256;"https://viatec.ua/catalog/access-control-lock/0:0;70:267";prom;prom_;0,85;1.30;140905382;Безопасность и комфорт;301010;https://prom.ua/Mehanicheskie-zamki;V, Vmin, noindex;;Тип устройства;;замок
257;"https://viatec.ua/catalog/access-control-lock/0:0;70:268";site;;0,85;1,2;90997501;Замки;301011;https://prom.ua/Zaschelki;V;;Тип устройства;;засувка
258;"https://viatec.ua/catalog/access-control-lock/0:0;70:268";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;301011;https://prom.ua/Zaschelki;V, Vmin, noindex;;Тип устройства;;засувка
259;"https://viatec.ua/catalog/access-control-lock/0:0;70:269";site;;0,85;1,2;90997501;Замки;15380325;https://prom.ua/Aksessuary-dlya-dvernyh-zamkov;V;;Тип устройства;;кріплення
260;"https://viatec.ua/catalog/access-control-lock/0:0;70:269";prom;prom_;0,85;1.28;140905382;Безопасность и комфорт;15380325;https://prom.ua/Aksessuary-dlya-dvernyh-zamkov;V, Vmin, noindex;;Тип устройства;;кріплення
261;"https://viatec.ua/catalog/access-control-lock/0:0;70:katushka";site;;0,85;1,2;90997501;Замки;15380325;https://prom.ua/Aksessuary-dlya-dvernyh-zamkov;V;;Тип устройства;;Катушка
262;"https://viatec.ua/catalog/access-control-lock/0:0;70:katushka";prom;prom_;0,85;1.28;140905382;Безопасность и комфорт;15380325;https://prom.ua/Aksessuary-dlya-dvernyh-zamkov;V, Vmin, noindex;;Тип устройства;;Катушка
263;"https://viatec.ua/catalog/access-control-lock/0:0;70:cilindr";site;;0,85;1,2;90997501;Замки;15380325;https://prom.ua/Aksessuary-dlya-dvernyh-zamkov;V;;Тип устройства;;Цилиндр
264;"https://viatec.ua/catalog/access-control-lock/0:0;70:cilindr";prom;prom_;0,85;1.28;140905382;Безопасность и комфорт;15380325;https://prom.ua/Aksessuary-dlya-dvernyh-zamkov;V, Vmin, noindex;;Тип устройства;;Цилиндр
265;https://viatec.ua/catalog/access-turnstile/0:0;site;;0,85;1,2;152088176;Турникети;301301;https://prom.ua/Turnikety;V;;;;
266;https://viatec.ua/catalog/access-turnstile/0:0;prom;prom_;0,85;1.2;140905382;Безопасность и комфорт;301301;https://prom.ua/Turnikety;V, Vmin, noindex;;;;
267;https://viatec.ua/catalog/access-terminal/0:0;site;;0,85;1,2;127628166;Терминалы;3030;https://prom.ua/Sistemy-kontrolya-dostupa;V;;Тип устройства;;Термінали
268;https://viatec.ua/catalog/access-terminal/0:0;prom;prom_;0,85;1.2;140905382;Безопасность и комфорт;3030;https://prom.ua/Sistemy-kontrolya-dostupa;V, Vmin, noindex;;Тип устройства;;Термінали
269;"https://viatec.ua/catalog/access-control-button/0:0;67:258";site;;0,85;1,2;127628170;Кнопки выхода;302308;https://prom.ua/Trevozhnye-knopki-i-knopki-vyhoda;V;;Тип устройства;;Контактна
270;"https://viatec.ua/catalog/access-control-button/0:0;67:258";prom;prom_;0,85;1.2;140905382;Безопасность и комфорт;302308;https://prom.ua/Trevozhnye-knopki-i-knopki-vyhoda;V, Vmin, noindex;;Тип устройства;;Контактна
271;"https://viatec.ua/catalog/access-control-button/0:0;67:259";site;;0,85;1,2;127628170;Кнопки выхода;302308;https://prom.ua/Trevozhnye-knopki-i-knopki-vyhoda;V;;Тип устройства;;Безконтактна
272;"https://viatec.ua/catalog/access-control-button/0:0;67:259";prom;prom_;0,85;1.2;140905382;Безопасность и комфорт;302308;https://prom.ua/Trevozhnye-knopki-i-knopki-vyhoda;V, Vmin, noindex;;Тип устройства;;Безконтактна
273;https://viatec.ua/catalog/access-reader/0:0;site;;0,85;1,2;127628173;Считыватели;301311;https://prom.ua/Schityvateli;V;;;;
274;https://viatec.ua/catalog/access-reader/0:0;prom;prom_;0,85;1.2;140905382;Безопасность и комфорт;301311;https://prom.ua/Schityvateli;V, Vmin, noindex;;;;
