№;Ідентифікатор_підрозділу;Посилання_підрозділу;Тип устройства;universal_phrases_ru;universal_phrases_ua;base_keyword_ru;base_keyword_ua;allowed_specs
11;120214;https://prom.ua/ua/Sistema-ohlazhdeniya;Термостат+хаб;"термостат с хабом, умный термостат комплект, термостат управление отоплением, термостат система, термостат умный дом, термостат с централью, термостат климат комплект, термостат регулировка температуры, термостат контроль отопления, термостат комплект система";"термостат з хабом, розумний термостат комплект, термостат керування опаленням, термостат система, термостат розумний дім, термостат з централлю, термостат клімат комплект, термостат регулювання температури, термостат контроль опалення, термостат комплект система";термостат с хабом;термостат з хабом;"Виробник, Тип устройства"
12;120214;https://prom.ua/ua/Sistema-ohlazhdeniya;Термостат для батареї;"термостат для радиатора, термостат батареи, термоголовка радиаторная, регулятор батареи, термостат отопления радиатор, термостат для дома отопление, термостат клапан батареи, термостат умный радиатор, регулятор температуры батареи, термостат радиаторный";"термостат для батареї, термостат радіатора, термоголовка радіаторна, регулятор батареї, термостат опалення радіатор, термостат для дому опалення, термостат клапан батареї, термостат розумний радіатор, регулятор температури батареї, термостат радіаторний";термостат для радиатора;термостат для батареї;"Виробник, Тип устройства"
13;120214;https://prom.ua/ua/Sistema-ohlazhdeniya;Термостат электрической системы отопления;"термостат электрического отопления, термостат теплый пол, терморегулятор электрический, регулятор температуры отопления, термостат для дома электрический, термостат управление отоплением, термостат система отопления, термостат настенный электрический, термостат климат контроль, термостат для теплого пола";"термостат електричної системи опалення, термостат тепла підлога, терморегулятор електричний, регулятор температури опалення, термостат для дому електричний, термостат керування опаленням, термостат система опалення, термостат настінний електричний, термостат клімат контроль, термостат для теплої підлоги";термостат электрического отопления;термостат електричного опалення;"Виробник, Тип устройства"
14;120214;https://prom.ua/ua/Sistema-ohlazhdeniya;Термостат водяної системи опалення;"термостат водяного отопления, термостат для котла, термостат отопления вода, регулятор температуры отопления, термостат для дома вода, термостат система отопления, термостат для радиаторов, термостат контроль отопления, термостат водяной системы, термостат для теплого пола вода";"термостат водяної системи опалення, термостат для котла, термостат опалення вода, регулятор температури опалення, термостат для дому вода, термостат система опалення, термостат для радіаторів, термостат контроль опалення, термостат водяної системи, термостат для теплої підлоги вода";термостат водяного отопления;термостат водяної системи опалення;"Виробник, Тип устройства"
15;53004;https://prom.ua/ua/Rozetki-elektricheskie;Розетка Wi-Fi;"умная розетка wifi, wifi розетка, розетка с управлением, розетка умный дом, розетка дистанционная, розетка с приложением, smart розетка, розетка с таймером, розетка управление по wifi, розетка интеллектуальная";"розетка wifi, розумна розетка wifi, wifi розетка, розетка з керуванням, розетка розумний дім, розетка дистанційна, розетка з додатком, smart розетка, розетка з таймером, розетка керування по wifi";умная розетка wifi;розумна розетка wifi;"Виробник, Тип устройства"
16;513;https://prom.ua/ua/Udliniteli-elektricheskie;Подовжувач живлення Wi-Fi;"умный удлинитель wifi, wifi сетевой фильтр, удлинитель с управлением, удлинитель умный дом, удлинитель с приложением, сетевой фильтр wifi, smart удлинитель, удлинитель с таймером, удлинитель дистанционный, удлинитель интеллектуальный";"подовжувач живлення wifi, розумний подовжувач wifi, wifi мережевий фільтр, подовжувач з керуванням, подовжувач розумний дім, подовжувач з додатком, smart подовжувач, подовжувач з таймером, подовжувач дистанційний, подовжувач інтелектуальний";умный удлинитель wifi;розумний подовжувач wifi;"Виробник, Тип устройства"
17;15040606;https://prom.ua/ua/Led-podsvetka-intererov;LED стрічка;"led лента, светодиодная лента, led подсветка, лента освещения, led лента для дома, светодиодная подсветка, лента rgb, led лента декоративная, лента освещения интерьер, led лента универсальная";"led стрічка, світлодіодна стрічка, led підсвітка, стрічка освітлення, led стрічка для дому, світлодіодна підсвітка, стрічка rgb, led стрічка декоративна, стрічка освітлення інтер'єр, led стрічка універсальна";led лента;led стрічка;"Виробник, Тип устройства"
18;15040608;https://prom.ua/ua/Umnye-svetilniki;Смарт лампочка;"умная лампочка, smart лампа, лампа wifi, лампа с управлением, лампа умный дом, лампа с приложением, лампа rgb, лампа интеллектуальная, лампа светодиодная умная, лампа дистанционная";"розумна лампочка, smart лампа, лампа wifi, лампа з керуванням, лампа розумний дім, лампа з додатком, лампа rgb, лампа інтелектуальна, лампа світлодіодна розумна, лампа дистанційна";умная лампочка;розумна лампочка;"Виробник, Тип устройства"
19;39050509;https://prom.ua/ua/Nastolnye-lampy;Настільна лампа;"настольная лампа, лампа настольная светодиодная, лампа для стола, лампа офисная, лампа для работы, лампа для учебы, лампа светильник настольный, лампа интерьерная, лампа освещения стола, лампа бытовая";"настільна лампа, лампа настільна світлодіодна, лампа для столу, лампа офісна, лампа для роботи, лампа для навчання, лампа світильник настільний, лампа інтер'єрна, лампа освітлення столу, лампа побутова";настольная лампа;настільна лампа;"Виробник, Тип устройства"
20;282992;https://prom.ua/ua/Lampy-lupy-kosmetologicheskie;Підлогова лампа трансформер;"напольная лампа трансформер, лампа торшер трансформер, лампа напольная регулируемая, лампа трансформируемая, торшер универсальный, лампа для дома напольная, лампа интерьерная напольная, лампа с регулировкой, лампа трансформер светильник, лампа многофункциональная";"підлогова лампа трансформер, лампа торшер трансформер, лампа підлогова регульована, лампа трансформована, торшер універсальний, лампа для дому підлогова, лампа інтер'єрна підлогова, лампа з регулюванням, лампа трансформер світильник, лампа багатофункціональна";напольная лампа трансформер;підлогова лампа трансформер;"Виробник, Тип устройства"
21;301105;https://prom.ua/ua/Kamery-videonablyudeniya;Розумна камера для домашніх тварин;"камера для животных, умная камера для питомцев, камера наблюдения для животных, камера для дома животные, камера с приложением питомцы, камера с видео для животных, камера контроль животных, smart камера питомцы, камера наблюдения дом, камера wifi для животных";"розумна камера для домашніх тварин, камера для тварин, камера спостереження для тварин, камера для дому тварини, камера з додатком тварини, камера з відео для тварин, камера контроль тварин, smart камера тварини, камера спостереження дім, камера wifi для тварин";камера для животных;розумна камера для домашніх тварин;"Виробник, Тип устройства"
22;64430;https://prom.ua/ua/Zapchasti-dlya-uvlazhnitelej-ochistitelej-vozduha;Набір фільтрів для очищувача;"набор фильтров для очистителя, фильтр для очистителя воздуха, комплект фильтров, фильтр сменный очиститель, фильтр воздух очистка, фильтр для дома воздух, фильтр система очистки, фильтр универсальный очиститель, фильтр комплект, фильтр для очистителя воздуха комплект";"набір фільтрів для очищувача, фільтр для очищувача повітря, комплект фільтрів, фільтр змінний очищувач, фільтр очищення повітря, фільтр для дому повітря, фільтр система очищення, фільтр універсальний очищувач, фільтр комплект, фільтр для очищувача повітря комплект";набор фильтров для очистителя;набір фільтрів для очищувача;"Виробник, Тип устройства"
23;613;https://prom.ua/ua/Osvezhiteli-vozduha;Аромадифузор;"аромадиффузор, диффузор ароматический, диффузор эфирных масел, ароматизатор воздуха, диффузор для дома, диффузор увлажнитель аромат, диффузор электрический, ароматический диффузор, диффузор ультразвуковой, диффузор интерьерный";"аромадифузор, дифузор ароматичний, дифузор ефірних олій, ароматизатор повітря, дифузор для дому, дифузор зволожувач аромат, дифузор електричний, ароматичний дифузор, дифузор ультразвуковий, дифузор інтер'єрний";аромадиффузор;аромадифузор;"Виробник, Тип устройства"
24;63023;https://prom.ua/ua/Robot-pylesos;Пилосос;"пылесос, пылесос для дома, пылесос бытовой, пылесос электрический, пылесос для уборки, пылесос универсальный, пылесос мощный, пылесос компактный, пылесос для квартиры, пылесос для пола";"пилосос, пилосос для дому, пилосос побутовий, пилосос електричний, пилосос для прибирання, пилосос універсальний, пилосос потужний, пилосос компактний, пилосос для квартири, пилосос для підлоги";пылесос;пилосос;"Виробник, Тип устройства"
25;270204;https://prom.ua/ua/Kormushki-poilki-dlya-domashnih-zhivotnyh;Розумна годівниця з камерою;"умная кормушка с камерой, кормушка для животных с камерой, кормушка автоматическая с видео, кормушка для питомцев умная, кормушка с приложением, кормушка контроль питания, кормушка wifi камера, кормушка для кошек и собак, smart кормушка с камерой, кормушка дистанционная";"розумна годівниця з камерою, годівниця для тварин з камерою, годівниця автоматична з відео, годівниця для тварин розумна, годівниця з додатком, годівниця контроль харчування, годівниця wifi камера, годівниця для котів і собак, smart годівниця з камерою, годівниця дистанційна";умная кормушка с камерой;розумна годівниця з камерою;"Виробник, Тип устройства"
26;16252401;https://prom.ua/ua/Elektricheskie-prostyni-elektroodeyalo;Електроковдра;"электроодеяло, одеяло с подогревом, одеяло электрическое, одеяло теплое электрическое, одеяло для дома, одеяло с регулировкой температуры, одеяло бытовое, одеяло комфорт, одеяло зимнее электрическое, одеяло с подогревом универсальное";"електроковдра, ковдра з підігрівом, ковдра електрична, ковдра тепла електрична, ковдра для дому, ковдра з регулюванням температури, ковдра побутова, ковдра комфорт, ковдра зимова електрична, ковдра з підігрівом універсальна";электроодеяло;електроковдра;"Виробник, Тип устройства"
27;62612;https://prom.ua/ua/Kovriki-napolnye-s-podogrevom;Килимок із підігрівом;"коврик с подогревом, коврик электрический, коврик теплый, коврик для дома с подогревом, коврик для ног с подогревом, коврик электрический бытовой, коврик универсальный, коврик комфорт, коврик с регулировкой температуры, коврик зимний";"килимок із підігрівом, килимок електричний, килимок теплий, килимок для дому з підігрівом, килимок для ніг з підігрівом, килимок електричний побутовий, килимок універсальний, килимок комфорт, килимок з регулюванням температури, килимок зимовий";коврик с подогревом;килимок із підігрівом;"Виробник, Тип устройства"
28;181206;https://prom.ua/ua/Lezhanki-i-podstilki-dlya-domashnih-zhivotnyh;Ліжко для тварин;"лежак для животных, кровать для питомцев, лежанка для кошек и собак, место для сна животных, лежак мягкий для животных, лежак для дома питомцы, кровать для кошек, лежанка универсальная, лежак комфорт для животных, лежак бытовой";"ліжко для тварин, лежак для тварин, лежанка для котів і собак, місце для сну тварин, лежак м'який для тварин, лежак для дому тварини, ліжко для котів, лежанка універсальна, лежак комфорт для тварин, лежак побутовий";лежак для животных;ліжко для тварин;"Виробник, Тип устройства"
29;270204;https://prom.ua/ua/Kormushki-poilki-dlya-domashnih-zhivotnyh;Поїлка для тварин;"поилка для животных, поилка для кошек и собак, автопоилка для животных, поилка автоматическая, поилка для дома животные, поилка с фильтром, поилка электрическая, поилка универсальная, поилка для питомцев, поилка бытовая";"поїлка для тварин, поїлка для котів і собак, автопоїлка для тварин, поїлка автоматична, поїлка для дому тварини, поїлка з фільтром, поїлка електрична, поїлка універсальна, поїлка для тварин, поїлка побутова";поилка для животных;поїлка для тварин;"Виробник, Тип устройства"
30;270204;https://prom.ua/ua/Kormushki-poilki-dlya-domashnih-zhivotnyh;Фільтр для поїлок;"фильтр для поилки, фильтр для автопоилки, фильтр сменный поилка, фильтр для воды животных, фильтр очистки воды питомцы, фильтр комплект поилка, фильтр универсальный поилка, фильтр для поилки комплект, фильтр бытовой поилка, фильтр для системы поения";"фільтр для поїлок, фільтр для автопоїлки, фільтр змінний поїлка, фільтр для води тварин, фільтр очищення води тварини, фільтр комплект поїлка, фільтр універсальний поїлка, фільтр для поїлки комплект, фільтр побутовий поїлка, фільтр для системи поїння";фильтр для поилки;фільтр для поїлок;"Виробник, Тип устройства"
31;2703;https://prom.ua/ua/Sredstva-uhoda-za-zhivotnymi;Осушувач для тварин;"сушилка для животных, осушитель для животных, фен для животных, устройство для сушки животных, сушилка для шерсти, сушилка для собак и кошек, сушилка бытовая для животных, сушилка электрическая, сушилка универсальная, сушилка для ухода за животными";"осушувач для тварин, сушарка для тварин, фен для тварин, пристрій для сушіння тварин, сушарка для шерсті, сушарка для котів і собак, сушарка побутова для тварин, сушарка електрична, сушарка універсальна, сушарка для догляду за тваринами";сушилка для животных;осушувач для тварин;"Виробник, Тип устройства"
32;270204;https://prom.ua/ua/Kormushki-poilki-dlya-domashnih-zhivotnyh;Миска для тварин;"миска для животных, миска для кошек и собак, миска для корма, миска для воды, миска для питомцев, миска пластиковая, миска металлическая, миска универсальная, миска бытовая, миска для дома животные";"миска для тварин, миска для котів і собак, миска для корму, миска для води, миска для тварин, миска пластикова, миска металева, миска універсальна, миска побутова, миска для дому тварини";миска для животных;миска для тварин;"Виробник, Тип устройства"
33;270204;https://prom.ua/ua/Kormushki-poilki-dlya-domashnih-zhivotnyh;Годівниця для тварин;"кормушка для животных, кормушка для кошек и собак, кормушка автоматическая, кормушка для дома животные, кормушка для питомцев, кормушка универсальная, кормушка бытовая, кормушка для корма, кормушка контейнер, кормушка для дачи животные";"годівниця для тварин, годівниця для котів і собак, годівниця автоматична, годівниця для дому тварини, годівниця для тварин, годівниця універсальна, годівниця побутова, годівниця для корму, годівниця контейнер, годівниця для дачі тварини";кормушка для животных;годівниця для тварин;"Виробник, Тип устройства"
34;270225;https://prom.ua/ua/Tualetnye-lotki-dlya-zhivotnyh;Лоток для тварин;"лоток для животных, туалет для кошек, лоток для кошек, лоток для питомцев, туалет для животных, лоток пластиковый, лоток с бортиками, лоток универсальный, лоток для дома животные, лоток бытовой";"лоток для тварин, туалет для котів, лоток для котів, лоток для тварин, туалет для тварин, лоток пластиковий, лоток з бортиками, лоток універсальний, лоток для дому тварини, лоток побутовий";лоток для животных;лоток для тварин;"Виробник, Тип устройства"
35;181201;https://prom.ua/ua/Sumki-dlya-perenosa-domashnih-zhivotnyh;Переноска для тварин;"переноска для животных, переноска для кошек и собак, контейнер для животных, сумка переноска, переноска пластиковая, переноска для поездок, переноска универсальная, переноска для дома животные, переноска бытовая, переноска дорожная";"переноска для тварин, переноска для котів і собак, контейнер для тварин, сумка переноска, переноска пластикова, переноска для поїздок, переноска універсальна, переноска для дому тварини, переноска побутова, переноска дорожня";переноска для животных;переноска для тварин;"Виробник, Тип устройства"
36;2703;https://prom.ua/ua/Sredstva-uhoda-za-zhivotnymi;Нейтралізатор запаху для тварин;"нейтрализатор запаха для животных, средство от запаха животных, устранитель запаха, нейтрализатор запаха дома, средство для удаления запаха питомцев, освежитель для животных, нейтрализатор бытовой, средство против запаха, нейтрализатор универсальный, очиститель запаха животных";"нейтралізатор запаху для тварин, засіб від запаху тварин, усувач запаху, нейтралізатор запаху дому, засіб для видалення запаху тварин, освіжувач для тварин, нейтралізатор побутовий, засіб проти запаху, нейтралізатор універсальний, очищувач запаху тварин";нейтрализатор запаха для животных;нейтралізатор запаху  для тварин;"Виробник, Тип устройства"
37;181206;https://prom.ua/ua/Lezhanki-i-podstilki-dlya-domashnih-zhivotnyh;Килимок для тварин;"коврик для животных, коврик для кошек и собак, коврик под миску, коврик для туалета животных, коврик для дома животные, коврик универсальный, коврик пластиковый, коврик резиновый, коврик бытовой, коврик защитный для животных";"килимок для тварин, килимок для котів і собак, килимок під миску, килимок для туалету тварин, килимок для дому тварини, килимок універсальний, килимок пластиковий, килимок гумовий, килимок побутовий, килимок захисний для тварин";коврик для животных;килимок для тварин;"Виробник, Тип устройства"
38;181204;https://prom.ua/ua/Oborudovanie-i-instrumenty-dlya-gruminga;Сушка для тварин;"сушка для животных, сушилка для шерсти, устройство для сушки животных, сушилка для собак и кошек, сушилка электрическая животные, сушилка универсальная, сушилка бытовая, сушилка для ухода за животными, сушилка компактная, сушилка для дома животные";"сушка для тварин, сушарка для шерсті, пристрій для сушіння тварин, сушарка для котів і собак, сушарка електрична тварини, сушарка універсальна, сушарка побутова, сушарка для догляду за тваринами, сушарка компактна, сушарка для дому тварини";сушка для животных;сушка для тварин;"Виробник, Тип устройства"
39;2703;https://prom.ua/ua/Sredstva-uhoda-za-zhivotnymi;Змінні пакети для тварин;"сменные пакеты для животных, пакеты для уборки за животными, пакеты для собак, пакеты для отходов животных, пакеты для выгула, пакеты универсальные для животных, пакеты биоразлагаемые для животных, пакеты для дома животные, пакеты для гигиены животных, пакеты бытовые для животных";"змінні пакети для тварин, пакети для прибирання за тваринами, пакети для собак, пакети для відходів тварин, пакети для вигулу, пакети універсальні для тварин, пакети біорозкладні для тварин, пакети для дому тварини, пакети для гігієни тварин, пакети побутові для тварин";сменные пакеты для животных;змінні пакети для тварин;"Виробник, Тип устройства"
40;301105;https://prom.ua/Kamery-videonablyudeniya;Камери;"камера видеонаблюдения, видеокамера видеонаблюдения, камера безопасности, видеонаблюдение, видеокамера слежения";"камера відеоспостереження, відеокамера відеоспостереження, камера безпеки, відеоспостереження, відеокамера стеження";видеокамера;відеокамера;"Виробник, Тип устройства, Роздільна здатність (Мп), Тип камери, Фокусна відстань, Кут огляду по горизонталі, Вбудований мікрофон, Наявність ІЧ-підсвічування, Порт для SD-карти, Бездротовий інтерфейс, Захист обладнання від води і пилу IP, Кодек стиснення, Форм-фактор"
41;301105;https://prom.ua/Kamery-videonablyudeniya;PTZ-камери;"ptz камера, поворотная камера, скоростная купольная камера, ip ptz камера, камера с зумом, поворотная ip камера, камера видеонаблюдения ptz, купольная ptz камера";"ptz камера, поворотна камера, швидкісна купольна камера, ip ptz камера, камера з зумом, поворотна ip камера, камера відеоспостереження ptz, купольна ptz камера";ptz камера;ptz камера;"Виробник, Тип устройства, Роздільна здатність (Мп), Тип камери, Фокусна відстань, Кут огляду по горизонталі, Вбудований мікрофон, Наявність ІЧ-підсвічування, Порт для SD-карти, Бездротовий інтерфейс, Захист обладнання від води і пилу IP, Кодек стиснення, Форм-фактор"
42;301105;https://prom.ua/Kamery-videonablyudeniya;Тепловізійні камери;"тепловизионная камера, тепловизор камера, инфракрасная тепловизионная камера, ip тепловизионная камера, камера ночного видения тепловизионная, тепловизионное видеонаблюдение, камера с тепловизором, тепловизор для наблюдения";"тепловізійна камера, тепловізор камера, інфрачервона тепловізійна камера, ip тепловізійна камера, камера нічного бачення тепловізійна, тепловізійне відеоспостереження, камера з тепловізором, тепловізор для спостереження";тепловизионная камера;тепловізійна камера;"Виробник, Тип устройства, Роздільна здатність (Мп), Тип камери, Фокусна відстань, Кут огляду по горизонталі, Вбудований мікрофон, Наявність ІЧ-підсвічування, Порт для SD-карти, Бездротовий інтерфейс, Захист обладнання від води і пилу IP, Кодек стиснення, Форм-фактор"
