Слово в названии продукта;Производитель (виробник);Країна_виробник
Zendure;Zendure;Китай
ZKTeco;ZKTeco;Китай
ZKTECO;ZKTeco;Китай
ЗЗКМ;Запорізький завод кольорових металів;Україна
ЗЗЦМ;Запорізький завод кольорових металів;Україна
КПВонг-HF-ВП;Одескабель;Україна
МП;МП;Україна
Новий кабельний завод;Новий кабельний завод;Україна
Одескабель;Одескабель;Україна
УкрПожКабель;УкрПожКабель;Україна
WD;Western Digital;США
HS-TF-L2;Hikvision;Китай
SL;Slinex;Китай
KVC;Kocom;Південна Корея
EMOS;EMOS;Чехія
BRACKET;Slinex;Китай
NE;AGM;США
Hikmicro;HikMicro;Китай
NVECTECH;NVECTECH;Китай
THUNDER;HikMicro;Китай
UDAPT;UDAPT;Україна
SIRIO;SIRIO;Китай
DJI;DJI;Китай
Commando;Commando;Китай
DK01BWIT;Yli Electronic;Китай
YEH-210;Yli Electronic;Китай
Z-728T;SEVEN;Китай
K-300L;TriniX;Китай
MBB;Yli Electronic;Китай
ISK;Yli Electronic;Китай
СПКВ-04;КС Мехатроникс;Україна
CR;SEVEN;Китай
Teltonika;Teltonika;Литва
OEM;OEM;Китай
ALISTAR;ALISTAR;Китай
TelStream;TelStream;Китай
EnerGenie;EnerGenie;Китай
Conter;Conter;Китай
Сommax;Сommax;Південна Корея
ML;Seven;Китай
SR;Seven;Китай
DHI;Dahua Technology;Китай
Redodo;Redodo;Китай
Power Queen;Power Queen;Китай
LiTime;LiTime;Китай
Eco-Worthy;Eco-Worthy;Китай
Hub Power;Hub Power;Китай
Pylontech;Pylontech;Китай
Solis;Solis;Китай
Pecron;Pecron;Китай
Vector;Vector;Китай
Новый кабельный завод;Новий кабельний завод;Україна
КПВ-ВП;Одескабель;Україна
EUROSAT;EUROSAT;Україна
КППт-ВП;Одескабель;Україна
КСВВнг-LS;Одескабель;Україна
КПВ;Одескабель;Україна
БКМ;Forpost;Україна
Adtek-Китай;Adtek-Китай;Китай
Panasonic;Panasonic;Японія
CMS;CMS;Україна
Digitus;Digitus;Німеччина
EPNew;EPNew;Тайвань
Kingda;Kingda;Китай
Panduit;Panduit;США
L&W ELECTRONICAL;L&W ELECTRONICAL;Сінгапур
Assmann;Assmann;Німеччина
Corning;Corning;США
CSV;CSV;Україна
ABS;CSV;Україна
Wall-Maunted;WAL;Китай
Електрощит;CSV;Україна
БК;CSV;Україна
Vector;Vector;Китай
FelicityESS;Felicity ESS;Китай
LITHTECH;Lithtech;Китай
Renon;Renon;США
Green Wave;Green Wave;Китай
SWAN;Swan;Ізраїль
;Без бренду;
