№;Линк категории поставщика;channel;prefix;coef;threshold;Номер_групи;Назва_групи;Ідентифікатор_підрозділу;Посилання_підрозділу;Особисті_нотатки;Ярлик;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;feed;category id;Назва у постачальника;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики
11;;site;;1;"1,15";154638765;Источники питания LogicPower;5090319;https://prom.ua/ua/Zariadnye-ustroistva-dlia-smartfonov-y-planshetov;L;;Вага;кг;;;11885;Електроніка та аксесуари > Зарядні пристрої для смартфонів;Тип устройства;;Адаптери для телефонів і планшетів
12;;prom;prom_;1;1.25;140905382;Безопасность и комфорт;5090319;https://prom.ua/ua/Zariadnye-ustroistva-dlia-smartfonov-y-planshetov;"L, Lprom, noindex";;Вага;кг;;;11885;Електроніка та аксесуари > Зарядні пристрої для смартфонів;Тип устройства;;Адаптери для телефонів і планшетів
13;;site;;1;"1,15";154638765;Источники питания LogicPower;71109;https://prom.ua/Vneshnie-akkumulyatory-dlya-tsifrovoj-tehniki;L;;Вага;г;;;11892;Електроніка та аксесуари > Універсальні мобільні батареї;Тип устройства;;Повербанки
14;;prom;prom_;1;1.24;140905382;Безопасность и комфорт;71109;https://prom.ua/Vneshnie-akkumulyatory-dlya-tsifrovoj-tehniki;"L, Lprom, noindex";;Вага;г;;;11892;Електроніка та аксесуари > Універсальні мобільні батареї;Тип устройства;;Повербанки
15;;site;;1;"1,15";154639050;Аккумуляторы LogicPower;5280501;https://prom.ua/Akkumulyatornye-bloki;L;;Вага;кг;;;12374;Електроустаткування > BMS плати;Тип устройства;;Система керування акумулятора
16;;prom;prom_;1;1.18;140905382;Безопасность и комфорт;5280501;https://prom.ua/Akkumulyatornye-bloki;"L, Lprom, noindex";;Вага;кг;;;12374;Електроустаткування > BMS плати;Тип устройства;;Система керування акумулятора
17;;site;;1;"1,15";154639050;Аккумуляторы LogicPower;5280501;https://prom.ua/Akkumulyatornye-bloki;L;;Вага;кг;;;12325;Електроустаткування > Аксесуари для акумуляторів;Тип устройства;;Аксесуари для акумуляторів
18;;prom;prom_;1;1.18;140905382;Безопасность и комфорт;5280501;https://prom.ua/Akkumulyatornye-bloki;"L, Lprom, noindex";;Вага;кг;;;12325;Електроустаткування > Аксесуари для акумуляторів;Тип устройства;;Аксесуари для акумуляторів
19;;site;;1;"1,15";154639050;Аккумуляторы LogicPower;5280501;https://prom.ua/Akkumulyatornye-bloki;L;;Вага;кг;;;12324;Електроустаткування > Акумулятори;Тип устройства;;Акумулятори
20;;prom;prom_;1;1.18;140905382;Безопасность и комфорт;5280501;https://prom.ua/Akkumulyatornye-bloki;"L, Lprom, noindex";;Вага;кг;;;12324;Електроустаткування > Акумулятори;Тип устройства;;Акумулятори
21;;site;;1;"1,15";154639059;Солнечная энергетика LogicPower;52806;https://prom.ua/ua/Fotoelementy-i-solnechnye-paneli;L;;Вага;кг;;;12946;Електроустаткування > Багатофункціональні портативні зарядні станції;Тип устройства;;Сонячна панель
22;;prom;prom_;1;1.18;140905382;Безопасность и комфорт;52806;https://prom.ua/ua/Fotoelementy-i-solnechnye-paneli;"L, Lprom, noindex";;Вага;кг;;;12946;Електроустаткування > Багатофункціональні портативні зарядні станції;Тип устройства;;Сонячна панель
23;;site;;1;"1,15";154639050;Аккумуляторы LogicPower;5280501;https://prom.ua/Akkumulyatornye-bloki;L;;Вага;кг;;;12999;Електроустаткування > Балансири для акумуляторів;Тип устройства;;Акумуляторний балансир
24;;prom;prom_;1;1.18;140905382;Безопасность и комфорт;5280501;https://prom.ua/Akkumulyatornye-bloki;"L, Lprom, noindex";;Вага;кг;;;12999;Електроустаткування > Балансири для акумуляторів;Тип устройства;;Акумуляторний балансир
25;;site;;1;"1,15";154638765;Источники питания LogicPower;14191103;https://prom.ua/Promyshlennye-istochniki-pitaniya;L;;Вага;кг;;;12327;Електроустаткування > Блоки живлення;Тип устройства;;Блоки живлення
26;;prom;prom_;1;1.18;140905382;Безопасность и комфорт;14191103;https://prom.ua/Promyshlennye-istochniki-pitaniya;"L, Lprom, noindex";;Вага;кг;;;12327;Електроустаткування > Блоки живлення;Тип устройства;;Блоки живлення
27;;site;;1;"1,15";154638765;Источники питания LogicPower;14191106;https://prom.ua/ua/Istochnik-besperebojnogo-pitaniya-ibp;L;;Вага;кг;;;12329;Електроустаткування > Джерела безперебійного живлення;Тип устройства;;ДБЖ
28;;prom;prom_;1;1.18;140905382;Безопасность и комфорт;14191106;https://prom.ua/ua/Istochnik-besperebojnogo-pitaniya-ibp;"L, Lprom, noindex";;Вага;кг;;;12329;Електроустаткування > Джерела безперебійного живлення;Тип устройства;;ДБЖ
29;;site;;1;"1,15";154638765;Источники питания LogicPower;410201;https://prom.ua/ua/Zaryadnye-ustrojstva-dlya-akkumulyatorov;L;;Вага;кг;;;12326;Електроустаткування > Зарядні пристрої для АКБ;Тип устройства;;Зарядне для акумуляторів
30;;prom;prom_;1;1.21;140905382;Безопасность и комфорт;410201;https://prom.ua/ua/Zaryadnye-ustrojstva-dlya-akkumulyatorov;"L, Lprom, noindex";;Вага;кг;;;12326;Електроустаткування > Зарядні пристрої для АКБ;Тип устройства;;Зарядне для акумуляторів
31;;site;;1;"1,15";154639050;Аккумуляторы LogicPower;5280501;https://prom.ua/Akkumulyatornye-bloki;L;;Вага;кг;;;12900;"Електроустаткування > Осередки, елементи для літієвих акумуляторів";Тип устройства;;Елементи для літієвих акумуляторів
32;;prom;prom_;1;1.18;140905382;Безопасность и комфорт;5280501;https://prom.ua/Akkumulyatornye-bloki;"L, Lprom, noindex";;Вага;кг;;;12900;"Електроустаткування > Осередки, елементи для літієвих акумуляторів";Тип устройства;;Елементи для літієвих акумуляторів
33;;site;;1;"1,15";154638765;Источники питания LogicPower;14191106;https://prom.ua/Istochnik-besperebojnogo-pitaniya-ibp;L;;Вага;кг;;;13001;Електроустаткування > Системи резервного живлення;Тип устройства;;Автономні системи живлення
34;;prom;prom_;1;1.18;140905382;Безопасность и комфорт;14191106;https://prom.ua/Istochnik-besperebojnogo-pitaniya-ibp;"L, Lprom, noindex";;Вага;кг;;;13001;Електроустаткування > Системи резервного живлення;Тип устройства;;Автономні системи живлення
35;;site;;1;"1,15";154638651;Видеонаблюдение GreenVision;706;https://prom.ua/ua/Monitory;L;;Вага;кг;;;14056;Комп'ютерні комплектуючі та периферія > Монітори;Тип устройства;;Монітори
36;;prom;prom_;1;1.19;140905382;Безопасность и комфорт;706;https://prom.ua/ua/Monitory;"L, Lprom, noindex";;Вага;кг;;;14056;Комп'ютерні комплектуючі та периферія > Монітори;Тип устройства;;Монітори
37;;site;;1;"1,15";154638651;Видеонаблюдение GreenVision;63705;https://prom.ua/ua/Karty-pamyati;L;;Вага;г;;;12338;Комп'ютерні комплектуючі та периферія > Накопичувачі;Тип устройства;;"MicroSD, SD"
38;;prom;prom_;1;1.23;140905382;Безопасность и комфорт;63705;https://prom.ua/ua/Karty-pamyati;"L, Lprom, noindex";;Вага;г;;;12338;Комп'ютерні комплектуючі та периферія > Накопичувачі;Тип устройства;;"MicroSD, SD"
39;;site;;1;"1,15";154638765;Источники питания LogicPower;513;https://prom.ua/Udliniteli-elektricheskie;L;;Вага;г;;;12273;Комп'ютерні комплектуючі та периферія > Фільтри мережі;Тип устройства;;Подовжувач
40;;prom;prom_;1;1.22;140905382;Безопасность и комфорт;513;https://prom.ua/Udliniteli-elektricheskie;"L, Lprom, noindex";;Вага;г;;;12273;Комп'ютерні комплектуючі та периферія > Фільтри мережі;Тип устройства;;Подовжувач
41;;site;;1;"1,15";154639053;Сетевое оборудование GreenVision;50928;https://prom.ua/ua/Oborudovanie-dlya-pitaniya-po-ethernet;L;;Вага;г;;;12357;Мережеве обладнання > Активне мережеве обладнання > POE інжектори та ретранслятори;Тип устройства;;"Інжектор, медіаконвертор"
42;;prom;prom_;1;1.17;140905382;Безопасность и комфорт;50928;https://prom.ua/ua/Oborudovanie-dlya-pitaniya-po-ethernet;"L, Lprom, noindex";;Вага;г;;;12357;Мережеве обладнання > Активне мережеве обладнання > POE інжектори та ретранслятори;Тип устройства;;"Інжектор, медіаконвертор"
43;;site;;1;"1,15";154639053;Сетевое оборудование GreenVision;71903;https://prom.ua/ua/Kommutatory;L;;Вага;г;;;12346;Мережеве обладнання > Активне мережеве обладнання > Комутатори;Тип устройства;;Комутатори
44;;prom;prom_;1;1.18;140905382;Безопасность и комфорт;71903;https://prom.ua/ua/Kommutatory;"L, Lprom, noindex";;Вага;г;;;12346;Мережеве обладнання > Активне мережеве обладнання > Комутатори;Тип устройства;;Комутатори
45;;site;;1;"1,15";154639053;Сетевое оборудование GreenVision;71902;https://prom.ua/Routeryi;L;;Вага;г;;;12896;Мережеве обладнання > Активне мережеве обладнання > Маршрутизатори;Тип устройства;;Роутери
46;;prom;prom_;1;1.18;140905382;Безопасность и комфорт;71902;https://prom.ua/Routeryi;"L, Lprom, noindex";;Вага;г;;;12896;Мережеве обладнання > Активне мережеве обладнання > Маршрутизатори;Тип устройства;;Роутери
47;;site;;1;"1,15";154639053;Сетевое оборудование GreenVision;50928;https://prom.ua/ua/Oborudovanie-dlya-pitaniya-po-ethernet;L;;Вага;г;;;12364;Мережеве обладнання > Пасивне мережеве обладнання > Подовжувачі сигналів;Тип устройства;;"Інжектор, медіаконвертор"
48;;prom;prom_;1;1.17;140905382;Безопасность и комфорт;50928;https://prom.ua/ua/Oborudovanie-dlya-pitaniya-po-ethernet;"L, Lprom, noindex";;Вага;г;;;12364;Мережеве обладнання > Пасивне мережеве обладнання > Подовжувачі сигналів;Тип устройства;;"Інжектор, медіаконвертор"
49;;site;;1;"1,15";154638767;Отопление LogicPower;141506;https://prom.ua/ua/Teplovye-nasosy;L;;Вага;кг;;;12904;Опалення > Теплові насоси;Тип устройства;;Теплові насоси
50;;prom;prom_;1;1.15;140905382;Безопасность и комфорт;141506;https://prom.ua/ua/Teplovye-nasosy;"L, Lprom, noindex";;Вага;кг;;;12904;Опалення > Теплові насоси;Тип устройства;;Теплові насоси
51;;site;;1;"1,15";154638767;Отопление LogicPower;14650206;https://prom.ua/ua/Fankojly;L;;Вага;кг;;;12922;Опалення > Фанкойли;Тип устройства;;Фанкойли
52;;prom;prom_;1;1.15;140905382;Безопасность и комфорт;14650206;https://prom.ua/ua/Fankojly;"L, Lprom, noindex";;Вага;кг;;;12922;Опалення > Фанкойли;Тип устройства;;Фанкойли
53;;site;;1;"1,15";22818554;Оборудование для системы Умный дом;14200312;https://prom.ua/ua/Steklomojnyj-instrument;L;;Вага;г;;;11283;Побутова техніка > Техніка для дому;Тип устройства;;Роботи для мийки вікон
54;;prom;prom_;1;1.21;140905382;Безопасность и комфорт;14200312;https://prom.ua/ua/Steklomojnyj-instrument;"L, Lprom, noindex";;Вага;г;;;11283;Побутова техніка > Техніка для дому;Тип устройства;;Роботи для мийки вікон
55;;site;;1;"1,15";154638651;Видеонаблюдение GreenVision;301101;https://prom.ua/Videoregistratory;L;;Вага;г;;;12281;Системи безпеки > Відеоспостереження > Відеореєстратори;Тип устройства;;Реєстратори
56;;prom;prom_;1;1.21;140905382;Безопасность и комфорт;301101;https://prom.ua/Videoregistratory;"L, Lprom, noindex";;Вага;г;;;12281;Системи безпеки > Відеоспостереження > Відеореєстратори;Тип устройства;;Реєстратори
57;;site;;1;"1,15";154638651;Видеонаблюдение GreenVision;301105;https://prom.ua/ua/Kamery-videonablyudeniya;L;;Вага;г;;;12286;Системи безпеки > Відеоспостереження > Камери відеоспостереження;Тип устройства;;Камери
58;;prom;prom_;1;1.23;140905382;Безопасность и комфорт;301105;https://prom.ua/ua/Kamery-videonablyudeniya;"L, Lprom, noindex";;Вага;г;;;12286;Системи безпеки > Відеоспостереження > Камери відеоспостереження;Тип устройства;;Камери
59;;site;;1;"1,15";154638651;Видеонаблюдение GreenVision;300410;https://prom.ua/Sistema-videonablyudeniya;L;;Вага;г;;;12289;Системи безпеки > Відеоспостереження > Комплекти відеоспостереження;Тип устройства;;Комплекти відеонагляду
60;;prom;prom_;1;1.21;140905382;Безопасность и комфорт;300410;https://prom.ua/Sistema-videonablyudeniya;"L, Lprom, noindex";;Вага;г;;;12289;Системи безпеки > Відеоспостереження > Комплекти відеоспостереження;Тип устройства;;Комплекти відеонагляду
61;;site;;1;"1,15";154638759;Видеодомофоны GreenVision;3029;https://prom.ua/ua/Domofony-videodomofony;L;;Вага;г;;;12355;Системи безпеки > Домофони;Тип устройства;;Відеодомофон
62;;prom;prom_;1;1.22;140905382;Безопасность и комфорт;3029;https://prom.ua/ua/Domofony-videodomofony;"L, Lprom, noindex";;Вага;г;;;12355;Системи безпеки > Домофони;Тип устройства;;Відеодомофон
63;;site;;1;"1,15";154639058;Системы доступа GreenVision;15380311;https://prom.ua/ua/Dovodchiki-dverej;L;;Вага;кг;;;12889;Системи безпеки > СКУД > Доводчики дверей;Тип устройства;;Дотягувачі
64;;prom;prom_;1;1.19;140905382;Безопасность и комфорт;15380311;https://prom.ua/ua/Dovodchiki-dverej;"L, Lprom, noindex";;Вага;кг;;;12889;Системи безпеки > СКУД > Доводчики дверей;Тип устройства;;Дотягувачі
65;;site;;1;"1,15";154639058;Системы доступа GreenVision;301010;https://prom.ua/ua/Mehanicheskie-zamki;L;;Вага;кг;;;12351;Системи безпеки > СКУД > Замки;Тип устройства;;Замки
66;;prom;prom_;1;1.21;140905382;Безопасность и комфорт;301010;https://prom.ua/ua/Mehanicheskie-zamki;"L, Lprom, noindex";;Вага;кг;;;12351;Системи безпеки > СКУД > Замки;Тип устройства;;Замки
67;;site;;1;"1,15";154639058;Системы доступа GreenVision;301311;https://prom.ua/Schityvateli;L;;Вага;г;;;12352;Системи безпеки > СКУД > Зчитувачі;Тип устройства;;Зчитувачі
68;;prom;prom_;1;1.15;140905382;Безопасность и комфорт;301311;https://prom.ua/Schityvateli;"L, Lprom, noindex";;Вага;г;;;12352;Системи безпеки > СКУД > Зчитувачі;Тип устройства;;Зчитувачі
69;;site;;1;"1,15";154639058;Системы доступа GreenVision;302308;https://prom.ua/Trevozhnye-knopki-i-knopki-vyhoda;L;;Вага;г;;;12353;Системи безпеки > СКУД > Кнопки;Тип устройства;;Кнопки
70;;prom;prom_;1;1.15;140905382;Безопасность и комфорт;302308;https://prom.ua/Trevozhnye-knopki-i-knopki-vyhoda;"L, Lprom, noindex";;Вага;г;;;12353;Системи безпеки > СКУД > Кнопки;Тип устройства;;Кнопки
71;;site;;1;"1,15";154639058;Системы доступа GreenVision;301312;https://prom.ua/Kontrollery;L;;Вага;г;;;12350;Системи безпеки > СКУД > Контролери;Тип устройства;;Контролери
72;;prom;prom_;1;1.15;140905382;Безопасность и комфорт;301312;https://prom.ua/Kontrollery;"L, Lprom, noindex";;Вага;г;;;12350;Системи безпеки > СКУД > Контролери;Тип устройства;;Контролери
73;;site;;1;"1,15";154639050;Аккумуляторы LogicPower;5280501;https://prom.ua/Akkumulyatornye-bloki;L;;Вага;кг;;;13074;Електроустаткування > Високовольтні акумуляторні батареї;Тип устройства;;Акумулятори
74;;prom;prom_;1;1.18;140905382;Безопасность и комфорт;5280501;https://prom.ua/Akkumulyatornye-bloki;"L, Lprom, noindex";;Вага;кг;;;13074;Електроустаткування > Високовольтні акумуляторні батареї;Тип устройства;;Акумулятори
75;;site;;1;"1,15";154638765;Источники питания LogicPower;70711;https://prom.ua/ua/Bloki-pitaniya-dlya-kompyuterov;L;;Вага;кг;;;12272;Комп'ютерні комплектуючі та периферія > Блоки живлення;Тип устройства;;Комп'ютерні блоки живлення
76;;prom;prom_;1;1.15;140905382;Безопасность и комфорт;70711;https://prom.ua/ua/Bloki-pitaniya-dlya-kompyuterov;"L, Lprom, noindex";;Вага;кг;;;12272;Комп'ютерні комплектуючі та периферія > Блоки живлення;Тип устройства;;Комп'ютерні блоки живлення
77;;site;;1;"1,15";154639059;Солнечная энергетика LogicPower;52806;https://prom.ua/Fotoelementy-i-solnechnye-paneli;L;;Вага;кг;;;11258;Альтернативна енергетика > Сонячні панелі;Тип устройства;;Сонячна панель
78;;prom;prom_;1;1.18;140905382;Безопасность и комфорт;52806;https://prom.ua/Fotoelementy-i-solnechnye-paneli;"L, Lprom, noindex";;Вага;кг;;;11258;Альтернативна енергетика > Сонячні панелі;Тип устройства;;Сонячна панель
