№;Ідентифікатор_підрозділу;Посилання_підрозділу;Тип устройства;universal_phrases_ru;universal_phrases_ua;base_keyword_ru;base_keyword_ua;allowed_specs
11;52806;https://prom.ua/Fotoelementy-i-solnechnye-paneli;Сонячна панель;"солнечная панель, солнечная батарея, панель солнечная фотоэлектрическая, панель для генерации энергии, солнечный модуль, панель для дома солнечная, фотоэлектрическая панель, панель pv";"сонячна панель, сонячна батарея, панель сонячна фотоелектрична, панель для генерації енергії, сонячний модуль, панель для дому сонячна, фотоелектрична панель, панель pv";солнечная панель;сонячна панель;"Виробник, Тип устройства"
12;5280501;https://prom.ua/ua/Akkumulyatornye-bloki;Акумуляторний балансир;"балансир аккумуляторов, балансир батарей, балансир bms, балансировщик ячеек, балансир для литиевых аккумуляторов, балансир напряжения, балансир зарядки батарей, балансир для аккумуляторных сборок, балансир активный, балансир пассивный";"акумуляторний балансир, балансир батарей, балансир bms, балансувальник комірок, балансир для літієвих акумуляторів, балансир напруги, балансир зарядки батарей, балансир для акумуляторних збірок, балансир активний, балансир пасивний";балансир аккумуляторов;акумуляторний балансир;"Виробник, Тип устройства"
13;14191103;https://prom.ua/Promyshlennye-istochniki-pitaniya;Блоки живлення;"блок питания 12в, блок питания 24в, блок питания 48в, адаптер питания, источник питания постоянный, блок питания для камер, импульсный блок питания, блок питания стабилизированный";"блок живлення 12в, блок живлення 24в, блок живлення 48в, адаптер живлення, джерело живлення постійне, блок живлення для камер, імпульсний блок живлення, блок живлення стабілізований";блок питания;блок живлення;"Виробник, Тип устройства"
14;14191106;https://prom.ua/Istochnik-besperebojnogo-pitaniya-ibp;ДБЖ;"ибп 220в, источник бесперебойного питания, ups 220v, бесперебойник для дома, ибп для котла, резервное питание 220в, ups для компьютера, бесперебойное питание, ибп для роутера, автономное питание 220в";"дбж 220в, джерело безперебійного живлення, ups 220v, безперебійник для дому, дбж для котла, резервне живлення 220в, ups для комп'ютера, безперебійне живлення, дбж для роутера, автономне живлення 220в";ибп 220в;дбж 220в;"Виробник, Тип устройства"
15;410201;https://prom.ua/ua/Zaryadnye-ustrojstva-dlya-akkumulyatorov;Зарядне для акумуляторів;"зарядное устройство для аккумуляторов, зарядка для акб, зарядное устройство автомобильное, зарядное устройство универсальное, зарядка аккумулятора, зарядное для батарей, зарядное устройство 12в, зарядное устройство интеллектуальное, зарядка для авто аккумулятора, зарядное устройство для батарей";"зарядний пристрій для акумуляторів, зарядка для акб, зарядний пристрій автомобільний, зарядний пристрій універсальний, зарядка акумулятора, зарядний для батарей, зарядний пристрій 12в, зарядний пристрій інтелектуальний, зарядка для авто акумулятора, зарядний пристрій для батарей";зарядное устройство для аккумуляторов;зарядний пристрій для акумуляторів;"Виробник, Тип устройства"
16;5280501;https://prom.ua/Akkumulyatornye-bloki;Елементи для літієвих акумуляторів;"элементы для литиевых аккумуляторов, lithium battery cells, аккумуляторные ячейки, li-ion элементы, lifepo4 элементы, батарейные элементы, литиевые банки аккумулятора, элементы battery pack, ячейки для аккумулятора, lithium cells";"елементи для літієвих акумуляторів, lithium battery cells, акумуляторні комірки, li-ion елементи, lifepo4 елементи, батарейні елементи, літієві банки акумулятора, елементи battery pack, комірки для акумулятора, lithium cells";элементы для литиевых аккумуляторов;елементи для літієвих акумуляторів;"Виробник, Тип устройства"
17;14191106;https://prom.ua/Istochnik-besperebojnogo-pitaniya-ibp;Автономні системи живлення;"автономная система питания, система резервного питания, автономное электропитание, система питания дома, система backup питания, система энергонезависимая, автономная энергосистема, система бесперебойного питания";"автономна система живлення, система резервного живлення, автономне електроживлення, система живлення дому, система backup живлення, система енергонезалежна, автономна енергосистема, система безперебійного живлення";автономная система питания;автономна система живлення;"Виробник, Тип устройства"
18;706;https://prom.ua/Monitory;Монітори;"монитор, экран дисплей, монитор видеонаблюдения, дисплей для камеры, монитор системы, экран контроля, монитор безопасности, дисплей системы, монитор видеосистемы, экран наблюдения";"монітор, екран дисплей, монітор відеоспостереження, дисплей для камери, монітор системи, екран контролю, монітор безпеки, дисплей системи, монітор відеосистеми, екран спостереження";монитор;монітор;"Виробник, Тип устройства"
19;63705;https://prom.ua/Karty-pamyati;"MicroSD, SD";"microsd карта памяти, карта памяти microsd, карта памяти для камер, microsd для видеонаблюдения, карта памяти для регистратора, флеш карта microsd, карта памяти для хранения данных, microsd для записи видео, карта памяти для ip камер, microsd накопитель, микросд";"карта пам'яті microsd, microsd карта пам'яті, карта пам'яті для камер, microsd для відеоспостереження, карта пам'яті для реєстратора, флеш карта microsd, карта пам'яті для зберігання даних, microsd для запису відео, карта пам'яті для ip камер, microsd накопичувач, мікросд";карта памяти microsd;карта пам'яті microsd;"Виробник, Тип устройства"
20;513;https://prom.ua/Udliniteli-elektricheskie;Подовжувач;"удлинитель электрический, кабель удлинитель, удлинитель с розетками, удлинитель для дома, удлинитель силовой, удлинитель на катушке, кабель удлинитель длинный, удлинитель для техники";"подовжувач електричний, кабель подовжувач, подовжувач з розетками, подовжувач для дому, подовжувач силовий, подовжувач на котушці, кабель подовжувач довгий, подовжувач для техніки";удлинитель;подовжувач;"Виробник, Тип устройства"
21;50928;https://prom.ua/ua/Oborudovanie-dlya-pitaniya-po-ethernet;"Інжектор, медіаконвертор";"poe инжектор, инжектор питания poe, poe адаптер, poe injector, инжектор для камеры, poe блок питания, инжектор ethernet poe, инжектор для сети, poe питание для ip камеры, poe устройство";"poe інжектор, інжектор живлення poe, poe адаптер, poe injector, інжектор для камери, poe блок живлення, інжектор ethernet poe, інжектор для мережі, poe живлення для ip камери, poe пристрій";poe инжектор;poe інжектор;"Виробник, Тип устройства"
22;71903;https://prom.ua/Kommutatory;Комутатори;"коммутатор сетевой, свитч ethernet, коммутатор lan, сетевой switch, управляемый коммутатор, неуправляемый коммутатор, коммутатор для сети";"комутатор мережевий, світч ethernet, комутатор lan, мережевий switch, керований комутатор, некерований комутатор, комутатор для мережі";коммутатор;комутатор;"Виробник, Тип комутатора, Підтримка PoE, Форм-фактор, Тип портів, Загальна кількість портів, Можливість монтажу в стійку"
23;71902;https://prom.ua/Routeryi;Роутери;"маршрутизатор wifi, роутер интернет, маршрутизатор беспроводной, роутер для дома, маршрутизатор lan wan, wifi роутер, маршрутизатор для сети, роутер с антеннами";"маршрутизатор wifi, роутер інтернет, маршрутизатор бездротовий, роутер для дому, маршрутизатор lan wan, wifi роутер, маршрутизатор для мережі, роутер з антенами";маршрутизатор;маршрутизатор;"Виробник, Тип устройства"
24;141506;https://prom.ua/ua/Teplovye-nasosy;Теплові насоси;"тепловой насос, heat pump, насос отопления, тепловой насос воздух вода, система теплового насоса, тепловой насос для дома, энергосберегающее отопление, инверторный тепловой насос, отопительный тепловой насос, тепловой насос горячей воды";"тепловий насос, heat pump, насос опалення, тепловий насос повітря вода, система теплового насоса, тепловий насос для дому, енергозберігаюче опалення, інверторний тепловий насос, опалювальний тепловий насос, тепловий насос гарячої води";тепловой насос;тепловий насос;"Виробник, Тип устройства"
25;14650206;https://prom.ua/ua/Fankojly;Фанкойли;"фанкойл, fan coil, климатический фанкойл, внутренний блок фанкойла, фанкойл для отопления, фанкойл для охлаждения, настенный фанкойл, канальный фанкойл, система климат контроля, фанкойл кондиционирования";"фанкойл, fan coil, кліматичний фанкойл, внутрішній блок фанкойла, фанкойл для опалення, фанкойл для охолодження, настінний фанкойл, канальний фанкойл, система клімат контролю, фанкойл кондиціювання";фанкойл;фанкойл;"Виробник, Тип устройства"
26;14200312;https://prom.ua/ua/Steklomojnyj-instrument;Роботи для мийки вікон;"робот для мойки окон, робот мойщик окон, автоматический мойщик окон, window cleaning robot, робот стеклоочиститель, робот для стекла, умный робот для окон, мойка окон робот, робот для мытья стекол, робот cleaner windows";"робот для миття вікон, робот мийник вікон, автоматичний мийник вікон, window cleaning robot, робот склоочисник, робот для скла, розумний робот для вікон, миття вікон робот, робот для миття скла, robot cleaner windows";робот для мойки окон;робот для миття вікон;"Виробник, Тип устройства"
27;301101;https://prom.ua/Videoregistratory;Реєстратори;"видеорегистратор для видеонаблюдения, регистратор камер наблюдения, гибридный  видеорегистратор, мультиформатный видеорегистратор,  цифровой видеорегистратор, регистратор системы безопасности, видеорегистратор для камер, устройство записи видеонаблюдения";"відеореєстратор для відеоспостереження, реєстратор камер спостереження, гібридний відеореєстратор, мультиформатний відеореєстратор, цифровий відеореєстратор, реєстратор системи безпеки, відеореєстратор для камер, пристрій запису відеоспостереження";видеорегистратор;відеореєстратор;"Виробник, Тип устройства, Кількість каналів, Тип відеореєстратора, Підтримка PoE"
28;301105;https://prom.ua/Kamery-videonablyudeniya;Камери;"камера видеонаблюдения, видеокамера видеонаблюдения, камера безопасности, видеонаблюдение, видеокамера слежения";"камера відеоспостереження, відеокамера відеоспостереження, камера безпеки, відеоспостереження, відеокамера стеження";видеокамера;відеокамера;"Виробник, Тип устройства, Роздільна здатність (Мп), Тип камери, Фокусна відстань, Кут огляду по горизонталі, Вбудований мікрофон, Наявність ІЧ-підсвічування, Порт для SD-карти, Бездротовий інтерфейс, Захист обладнання від води і пилу IP, Кодек стиснення, Форм-фактор"
29;300410;https://prom.ua/Sistema-videonablyudeniya;Комплекти відеонагляду;"комплект видеонаблюдения, система видеонаблюдения комплект, набор камер видеонаблюдения, готовое решение видеонаблюдения, комплект ip видеонаблюдения, комплект видеонаблюдения с регистратором, комплект камер для дома, комплект видеонаблюдения для бизнеса, комплект безопасности с камерами, комплект видеонаблюдения под ключ";"комплект відеоспостереження, система відеоспостереження комплект, набір камер відеоспостереження, готове рішення відеоспостереження, комплект ip відеоспостереження, комплект відеоспостереження з реєстратором, комплект камер для дому, комплект відеоспостереження для бізнесу, комплект безпеки з камерами, комплект відеоспостереження під ключ";комплект видеонаблюдения;комплект відеоспостереження;"Виробник, Тип устройства"
30;3029;https://prom.ua/Domofony-videodomofony;Відеодомофон;"домофон, монитор домофона, домофонная система, видеодомофон для квартиры, видеодомофон для дома, внутренний видеодомофон, цветной видеодомофон, комплект домофона, домофон с экраном";"домофон, монітор домофону, домофонна система, відеодомофон для квартири, відеодомофон для дому, внутрішній відеодомофон, кольоровий відеодомофон, комплект домофону, домофон з екраном";видеодомофон;відеодомофон;"Виробник, Тип устройства, Діагональ екрану (дюйм), Порт для SD-карти, Інтерфейс, Протокол зв'язку"
31;15380311;https://prom.ua/Dovodchiki-dverej;Дотягувачі;"доводчик двери, дверной доводчик, гидравлический доводчик, доводчик для входной двери, доводчик накладной, доводчик дверной механизм, доводчик автоматического закрывания, доводчик для офиса";"доводчик дверей, дверний доводчик, гідравлічний доводчик, доводчик для вхідних дверей, доводчик накладний, доводчик дверний механізм, доводчик автоматичного закривання, доводчик для офісу";доводчик;доводчик;"Виробник, Тип устройства"
32;301010;https://prom.ua/Mehanicheskie-zamki;Замки;"магнитный замок, ригельный замок, электромеханический замок, замок для системы контроля доступа, электрозамок, дверной магнитный замок, замок с ригелем, замок для офиса, замок для домофона, замок контроля доступа";"магнітний замок, рігельний замок, електромеханічний замок, замок для системи контролю доступу, електрозамок, дверний магнітний замок, замок з ригелем, замок для офісу, замок для домофона, замок контролю доступу";электромеханический замок;електромеханічний замок;"Виробник, Тип устройства, Тип замка, Тип встановлення замку, Протокол зв'язку, Відкриття пристрою, Управління пристроєм"
33;301311;https://prom.ua/Schityvateli;Зчитувачі;"считыватель карт доступа, считыватель rfid, считыватель бесконтактных карт, считыватель ключей доступа, считыватель системы доступа, считыватель контроля доступа, считыватель proximity, считыватель rfid карт";"зчитувач карт доступу, зчитувач rfid, зчитувач безконтактних карт, зчитувач ключів доступу, зчитувач системи доступу, зчитувач контролю доступу, зчитувач proximity, зчитувач rfid карт";считыватель;зчитувач;"Виробник, Тип устройства"
34;302308;https://prom.ua/Trevozhnye-knopki-i-knopki-vyhoda;Кнопки;"кнопка выхода контактная, кнопка выхода механическая, кнопка выхода для двери, кнопка открытия двери, кнопка выхода накладная, кнопка выхода система доступа, кнопка управления дверью, кнопка выхода проводная";"кнопка виходу контактна, кнопка виходу механічна, кнопка виходу для дверей, кнопка відкриття дверей, кнопка виходу накладна, кнопка виходу система доступу, кнопка керування дверима, кнопка виходу провідна";кнопка выхода;кнопка виходу;"Виробник, Тип устройства"
35;301312;https://prom.ua/Kontrollery;Контролери;"контроллер доступа, контроллер скуд, контроллер управления доступом, сетевой контроллер доступа, контроллер дверей, контроллер системы доступа, контроллер rfid, контроллер учета доступа";"контролер доступу, контролер скуд, контролер управління доступом, мережевий контролер доступу, контролер дверей, контролер системи доступу, контролер rfid, контролер обліку доступу";контроллер;контролер;"Виробник, Тип устройства"
36;70711;https://prom.ua/ua/Bloki-pitaniya-dlya-kompyuterov;Комп'ютерні блоки живлення;"блок питания компьютера, компьютерный блок питания, psu для пк, блок питания atx, power supply pc, игровой блок питания, модульный блок питания, блок питания для компьютера, блок живлення 80 plus, блок питания для системного блока";"блок живлення комп'ютера, комп'ютерний блок живлення, psu для пк, блок живлення atx, power supply pc, ігровий блок живлення, модульний блок живлення, блок живлення для комп'ютера, блок живлення 80 plus, блок живлення для системного блоку";блок питания компьютера;блок живлення комп'ютера;"Виробник, Тип устройства"
