№;Ідентифікатор_підрозділу;Посилання_підрозділу;Тип устройства;universal_phrases_ru;universal_phrases_ua;base_keyword_ru;base_keyword_ua;allowed_specs
11;70704;https://prom.ua/Zhestkie-diski;HDD;"жесткий диск, hdd диск, накопитель данных, внутренний диск, накопитель для видеонаблюдения,  диск для видеорегистратора, ашдд для видеонаблюдения";"жорсткий диск, hdd диск, накопичувач даних, внутрішній диск, накопичувач для відеоспостереження, диск для відеореєстратора, ашдд для відеоспостереження";жесткий диск;жорсткий диск;"Виробник, Форм-фактор, Об'єм накопичувача, Інтерфейс, Швидкість обертання"
12;63705;https://prom.ua/Karty-pamyati;MicroSD;"карта памяти microSD для видеонаблюдения, microSD карта для камеры, карта памяти микро сд для айпи камер, microSD карта для видеорегистратора, карта памяти, micro сд карта для камеры наблюдения, карта памяти TF microSD";"картка пам'яті microSD для відеоспостереження, microSD картка для камери, картка пам'яті мікро сд для айпі камер, microSD карта для відеореєстратора, карта пам'яті, micro сд картка для камери спостереження, картка пам'яті TF microSD";sd карта;sd карта;"Виробник, Форм-фактор, Тип карти пам'яті, Об'єм пам'яті, Швидкість зчитування, Швидкість запису"
13;70501;https://prom.ua/Flesh-nakopitel;USB;"usb флеш накопитель, флешка  юсб, юсб флешка, флеш накопитель usb, usb флешка для ноутбука и пк,  usb накопитель";"usb флеш накопичувач, флешка юсб, юсб флешка, флеш накопичувач usb, usb флешка для ноутбука та пк, usb накопичувач";флешка;флешка;"Виробник, Форм-фактор, Об'єм пам'яті, Інтерфейс"
14;301112;https://prom.ua/Kozhuhi-i-kronshtejny;Кронштейни для камер;"кожух для камеры, кронштейн для камеры, крепление для видеокамеры, держатель видеокамеры наблюдения, монтажный кронштейн для камеры, козырек для видеокамеры";"кожух для камери, кронштейн для камери, кріплення для відеокамери, тримач відеокамери спостереження, монтажний кронштейн для камери, піддашок для відеокамери";кронштейн;кронштейн;"Виробник, Матеріал, Тип кріплення кронштейна, Маx нагрузка на кронштейн"
15;5092913;https://prom.ua/Korobki-montazhnye;Розподільні коробки для камер;"распределительная коробка для видеокамер, коммутационная коробка под видеокамеру, монтажная коробка для камеры видеонаблюдения, герметичная коробка для камер, водонепроницаемая коробка IP камер, коробка подключения видеокамеры";"розподільна коробка для відеокамер, комутаційна коробка під відеокамеру, монтажна коробка для відеоспостереження, герметична коробка для камер, водонепроникна коробка IP камер, коробка підключення відеокамери";коробка для камеры;коробка для камери;"Виробник, Тип устройства, Матеріал корпусу, Максимально допустиме навантаження"
16;5092913;https://prom.ua/Korobki-montazhnye;Розподільні коробки;"распределительная коробка, монтажная коробка для камер, коммутационная коробка, коробка для соединения кабелей, герметичная монтажная коробка, коробка для видеонаблюдения, уличная распределительная коробка, коробка для проводов";"розподільна коробка, монтажна коробка для камер, комутаційна коробка, коробка для з'єднання кабелів, герметична монтажна коробка, коробка для відеоспостереження, вулична розподільна коробка, коробка для проводів";распределительная коробка;розподільна коробка;"Виробник, Тип устройства, Матеріал корпусу, Максимально допустиме навантаження"
17;6371204;https://prom.ua/Mikrofony;Зовнішні мікрофони;"микрофон для видеонаблюдения, аудио микрофон, микрофон для камеры, активный микрофон, микрофон безопасности";"мікрофон для відеоспостереження, аудіо мікрофон, мікрофон для камери, активний мікрофон, мікрофон безпеки";микрофон;мікрофон;Виробник
18;301110;https://prom.ua/Pulty-dlya-sistem-videonablyudeniya;Пульти управління;"пульт управления, джойстик для камеры, пульт для видеонаблюдения, контроллер ptz, пульт управления камерой";"пульт керування, джойстик для камери, пульт для відеоспостереження, контролер ptz, пульт керування камерою";пульт управления;пульт керування;Виробник
19;150401;https://prom.ua/Naruzhnoe-osveschenie;Прожектори інфрачервоні;"освещение для видеокамеры, ик прожектор для видеонаблюдения, светодиодный ик прожектор, инфракрасная подсветка для камеры наблюдения";"освітлення для відеокамери, іч прожектор для відеоспостереження, світлодіодний іч прожектор, інфрачервоне підсвічування для камери спостереження";ик прожектор;іч прожектор;Виробник
20;6371809;https://prom.ua/Priemniki-i-peredatchiki-signala;Перехідники та балуни;"переходник для камеры, видео балун, balun для видеонаблюдения, пассивный видео балун, активный видео балун, переходник bnc rj45, адаптер для камеры, balun для передачи видео";"перехідник для камери, відео балун, balun для відеоспостереження, пасивний відео балун, активний відео балун, перехідник bnc rj45, адаптер для камери, balun для передачі відео";видео балун;відео балун;Виробник
21;14190406;https://prom.ua/Razemy-i-konnektory;Конектори і роз'єми;"разъем для камеры, коннектор bnc, разъем питания dc, коннектор для видеонаблюдения, разъем rj45 для камеры, штекер питания камеры, bnc разъем для видеокамеры, соединитель кабеля камеры";"роз'єм для камери, конектор bnc, роз'єм живлення dc, конектор для відеоспостереження, роз'єм rj45 для камери, штекер живлення камери, bnc роз'єм для відеокамери, з'єднувач кабелю камери";разъем для камеры;роз'єм для камери;Виробник
22;63719;https://prom.ua/Audio-video-kabeli-perehodniki-razemy;Кабелі для живлення;"кабель питания для камеры, провод питания видеокамеры, кабель для видеонаблюдения питание, dc кабель для камеры, удлинитель питания камеры, кабель 12в для камеры, провод питания cctv, кабель питания системы видеонаблюдения";"кабель живлення для камери, провід живлення відеокамери, кабель для відеоспостереження живлення, dc кабель для камери, подовжувач живлення камери, кабель 12в для камери, провід живлення cctv, кабель живлення системи відеоспостереження";кабель питания камеры;кабель живлення камери;Виробник
23;63719;https://prom.ua/Audio-video-kabeli-perehodniki-razemy;"HDMI, VGA підсилювачі";"hdmi усилитель сигнала, vga усилитель сигнала, усилитель hdmi, усилитель vga, hdmi репитер, vga репитер, усилитель видео сигнала hdmi, усилитель сигнала для монитора";"hdmi підсилювач сигналу, vga підсилювач сигналу, підсилювач hdmi, підсилювач vga, hdmi репітер, vga репітер, підсилювач відеосигналу hdmi, підсилювач сигналу для монітора";усилитель;підсилювач;Виробник
24;706;https://prom.ua/Monitory;Монітори;"монитор, экран дисплей, монитор видеонаблюдения, дисплей для камеры, монитор системы, экран контроля, монитор безопасности, дисплей системы, монитор видеосистемы, экран наблюдения";"монітор, екран дисплей, монітор відеоспостереження, дисплей для камери, монітор системи, екран контролю, монітор безпеки, дисплей системи, монітор відеосистеми, екран спостереження";монитор;монітор;"Виробник, Тип устройства"
25;3029;https://prom.ua/Domofony-videodomofony;Відеодомофон;"домофон, монитор домофона, домофонная система, видеодомофон для квартиры, видеодомофон для дома, внутренний видеодомофон, цветной видеодомофон, комплект домофона, домофон с экраном";"домофон, монітор домофону, домофонна система, відеодомофон для квартири, відеодомофон для дому, внутрішній відеодомофон, кольоровий відеодомофон, комплект домофону, домофон з екраном";видеодомофон;відеодомофон;"Виробник, Тип устройства, Діагональ екрану (дюйм), Порт для SD-карти, Інтерфейс, Протокол зв'язку"
26;3029;https://prom.ua/Domofony-videodomofony;Комплекти відеодомофонів;"комплект видеодомофона, комплект видеодомофона для дома, набор видеодомофона, система видеодомофона, комплект домофона с камерой, видеодомофон комплект с монитором, комплект видеодомофона для квартиры, домофон система комплект";"комплект відеодомофона, комплект відеодомофона для дому, набір відеодомофона, система відеодомофона, комплект домофона з камерою, відеодомофон комплект з монітором, комплект відеодомофона для квартири, домофон система комплект";комплект видеодомофона;комплект відеодомофона;"Виробник, Тип устройства, Діагональ екрану (дюйм), Порт для SD-карти, Інтерфейс, Протокол зв'язку"
27;3029;https://prom.ua/Domofony-videodomofony;Відеопанель кольорова виклична;"вызывная панель с камерой, панель вызова для домофона, кнопка вызова с камерой, уличная вызывная панель, наружная вызывная панель, антивандальная вызывная панель, кнопка домофона, вызывной блок с камерой, панель видеодомофона";"виклична панель з камерою, панель виклику для домофону, кнопка виклику з камерою, вулична виклична панель, зовнішня виклична панель, антивандальна виклична панель, кнопка домофону, викличний блок з камерою, панель відеодомофону";вызывная панель;виклична панель;"Виробник, Тип устройства, Кількість абонентів, Кут огляду камери по горизонталі, Кут огляду камери, Роздільна здатність камери (ТВЛ), Роздільна здатність камери (Мп), Протокол зв'язку"
28;50906;https://prom.ua/Peregovornye-ustrojstva;Аудіодомофон;"аудиодомофон, домофонная трубка, переговорное устройство, домофон без видео, домофон голосовой, домофонный комплект, домофон для квартиры, домофон простой";"аудіодомофон, домофонна трубка, переговорний пристрій, домофон без відео, домофон голосовий, домофонний комплект, домофон для квартири, домофон простий";аудиодомофон;аудіодомофон;"Виробник, Тип устройства"
29;153502;https://prom.ua/Aksessuary-dlya-domofonnogo;Кронштейни та рамки для домофонів;"кронштейн для домофона, рамка для домофона, крепление домофона, монтажная рамка домофона, держатель домофона, настенное крепление домофона, рамка для панели домофона, аксессуары для домофона";"кронштейн для домофона, рамка для домофона, кріплення домофона, монтажна рамка домофона, тримач домофона, настінне кріплення домофона, рамка для панелі домофона, аксесуари для домофона";кронштейн домофона;кронштейн домофона;Виробник
30;153502;https://prom.ua/Aksessuary-dlya-domofonnogo;Аудіотрубки для домофонів;"аудиотрубка домофона, трубка для домофона, переговорная трубка домофона, домофонная трубка, трубка для аудиодомофона, проводная трубка домофона, внутренняя трубка домофона, трубка связи домофона";"аудіотрубка домофона, трубка для домофона, переговорна трубка домофона, домофонна трубка, трубка для аудіодомофона, провідна трубка домофона, внутрішня трубка домофона, трубка зв'язку домофона";трубка домофона;трубка домофона;Виробник
31;153502;https://prom.ua/Aksessuary-dlya-domofonnogo;Пристрої для підключення домофонів;"модуль подключения домофона, адаптер домофона, устройство подключения домофона, блок подключения домофона, интерфейс домофона, контроллер домофона, плата подключения домофона, модуль сопряжения домофона";"модуль підключення домофона, адаптер домофона, пристрій підключення домофона, блок підключення домофона, інтерфейс домофона, контролер домофона, плата підключення домофона, модуль узгодження домофона";модуль домофона;модуль домофона;Виробник
32;153502;https://prom.ua/Aksessuary-dlya-domofonnogo;Гнучкий перехід;"гибкий переход для кабеля, кабельный переход гибкий, гибкий ввод кабеля, переходник кабельный гибкий, защита кабеля гибкая, гофра для кабеля, кабельный ввод гибкий, гибкий соединитель кабеля";"гнучкий перехід для кабелю, кабельний перехід гнучкий, гнучкий ввід кабелю, перехідник кабельний гнучкий, захист кабелю гнучкий, гофра для кабелю, кабельний ввід гнучкий, гнучкий з'єднувач кабелю";гибкий переход;гнучкий перехід;Виробник
33;153729;https://prom.ua/Takticheskie-teplovizory-;Тепловизоры;"тепловизор, тепловизионный прицел, тепловизионная камера, тепловизионный монокуляр, тепловизор охотничий, ручной термограф";"тепловізор, тепловізійний приціл, тепловізійна камера, тепловізійний монокуляр, мисливський тепловізор, ручний термограф";тепловизор;тепловізор;"Виробник, Тип устройства"
34;153709;https://prom.ua/Termometry-pirometry-teplovizory;Моніторинг температури тіла;"измерение температуры тела, контроль температуры, тепловизор тела, мониторинг температуры, система контроля температуры, измеритель температуры, сканер температуры, контроль доступа температура, термоскрининг, детектор температуры";"вимірювання температури тіла, контроль температури, тепловізор тіла, моніторинг температури, система контролю температури, вимірювач температури, сканер температури, контроль доступу температура, термоскринінг, детектор температури";контроль температуры тела;контроль температури тіла;"Виробник, Тип устройства"
35;181613;https://prom.ua/Pritsely-i-mushki;"Прицелы, целеуказатели";"прицел оптический, прицел коллиматорный, лазерный целеуказатель, тактический прицел, прицел для оружия, ночной прицел, прицел с увеличением, коллиматор для стрельбы";"приціл оптичний, приціл коліматорний, лазерний цілевказівник, тактичний приціл, приціл для зброї, нічний приціл, приціл зі збільшенням, коліматор для стрільби";прицел;приціл;Виробник
36;15370706;https://prom.ua/Pribory-nochnogo-videniya;Комплектуючі для ПНБ;"комплектующие пнв, аксессуары для пнв, запчасти для приборов ночного видения, крепления для пнв, элементы питания пнв, линзы для пнв, кабели для пнв, модули для пнв";"комплектуючі пнб, аксесуари для пнб, запчастини для приладів нічного бачення, кріплення для пнб, елементи живлення пнб, лінзи для пнб, кабелі для пнб, модулі для пнб";комплектующие пнв;комплектуючі пнб;Виробник
37;15370706;https://prom.ua/Pribory-nochnogo-videniya;Прилади ПНБ;"прибор ночного видения, пнв для наблюдения, ночной бинокль, ночной монокуляр, цифровой прибор ночного видения, инфракрасный прибор ночного видения, пнв для охраны, устройство ночного видения";"прилад нічного бачення, пнб для спостереження, нічний бінокль, нічний монокуляр, цифровий прилад нічного бачення, інфрачервоний прилад нічного бачення, пнб для охорони, пристрій нічного бачення";прибор ночного видения;прилад нічного бачення;Виробник
38;50906;https://prom.ua/Peregovornye-ustrojstva;Рации;"рация портативная, радиостанция переносная, рация для связи, радиостанция двусторонняя, рация для охраны, рация с гарнитурой, профессиональная рация, рация дальнего действия";"рація портативна, радіостанція переносна, рація для зв'язку, радіостанція двостороння, рація для охорони, рація з гарнітурою, професійна рація, рація дальньої дії";рация;рація;Виробник
39;2657;https://prom.ua/Kvadrokoptery;Дроны;"квадрокоптер дрон, дрон с камерой, fpv дрон, беспилотник квадрокоптер, дрон для съемки, профессиональный дрон, складной дрон, дрон с gps";"квадрокоптер дрон, дрон з камерою, fpv дрон, безпілотник квадрокоптер, дрон для зйомки, професійний дрон, складаний дрон, дрон з gps";дрон;дрон;Виробник
40;500415;https://prom.ua/Zapchasti-dlya-kvadrokopterov;Аккумуляторы для квадрокоптеров;"аккумулятор для квадрокоптера, батарея для дрона, аккумулятор дрона lipo, запасной аккумулятор квадрокоптера, батарея для fpv дрона, аккумулятор для беспилотника, аккумулятор для дрона с камерой, lipo батарея для дрона";"акумулятор для квадрокоптера, батарея для дрона, акумулятор дрона lipo, запасний акумулятор квадрокоптера, батарея для fpv дрона, акумулятор для безпілотника, акумулятор для дрона з камерою, lipo батарея для дрона";аккумулятор для дрона;акумулятор для дрона;Виробник
41;302303;https://prom.ua/Priemno-kontrolnye-pribory-i-pribory-upravleniya;Охранные приемно-контрольные приборы;"приемно контрольный прибор охранный, пкп охранной сигнализации, контрольная панель сигнализации, прибор охранной системы, централь охранной сигнализации, блок управления сигнализации, пульт охраны, система охранной сигнализации";"приймально контрольний прилад охоронний, пкп охоронної сигналізації, контрольна панель сигналізації, прилад охоронної системи, централь охоронної сигналізації, блок управління сигналізації, пульт охорони, система охоронної сигналізації";приемно контрольный прибор;приймально контрольний прилад;Виробник
42;302302;https://prom.ua/Ohrannye-izveschateli;Охранные датчики;"охранный датчик, датчик движения охранный, датчик открытия двери, инфракрасный датчик движения, датчик разбития стекла, беспроводной датчик сигнализации, датчик для охраны, датчик проникновения";"охоронний датчик, датчик руху охоронний, датчик відкриття дверей, інфрачервоний датчик руху, датчик розбиття скла, бездротовий датчик сигналізації, датчик для охорони, датчик проникнення";охранный датчик;охоронний датчик;Виробник
43;300402;https://prom.ua/Sireny-signalnye;Охранные сирены;"охранная сирена, сирена сигнализации, звуковая сирена охраны, уличная сирена сигнализации, сирена тревожная, сирена для дома, сирена оповещения, сигнализация сирена";"охоронна сирена, сирена сигналізації, звукова сирена охорони, вулична сирена сигналізації, сирена тривожна, сирена для дому, сирена оповіщення, сигналізація сирена";охранная сирена;охоронна сирена;Виробник
44;302307;https://prom.ua/Brelki-pulty-dlya-ohrannyh-sistem;Устройства управления охранной сигнализацией;"пульт управления сигнализацией, устройство управления охраной, клавиатура сигнализации, контроллер сигнализации, панель управления охранной системой, пульт охранной системы, устройство управления сигнализацией, блок управления сигнализации";"пульт управління сигналізацією, пристрій управління охороною, клавіатура сигналізації, контролер сигналізації, панель управління охоронною системою, пульт охоронної системи, пристрій управління сигналізацією, блок управління сигналізації";пульт сигнализации;пульт сигналізації;Виробник
45;300418;https://prom.ua/Sistemy-zashchity-ot-potopa;Устройства для защиты от потопа;"система защиты от протечки, датчик протечки воды, защита от потопа система, датчик утечки воды, система контроля воды, устройство защиты от воды, защита от затопления, система антипротечка";"система захисту від протікання, датчик протікання води, захист від потопу система, датчик витоку води, система контролю води, пристрій захисту від води, захист від затоплення, система антипротікання";защита от протечки;захист від протікання;Виробник
46;302303;https://prom.ua/Priemno-kontrolnye-pribory-i-pribory-upravleniya;Пожарные приемо-контрольные приборы;"пожарный приемно контрольный прибор, пкп пожарной сигнализации, централь пожарной сигнализации, прибор пожарной системы, панель пожарной сигнализации, блок пожарной сигнализации, система пожарной сигнализации, пульт пожарной сигнализации";"пожежний приймально контрольний прилад, пкп пожежної сигналізації, централь пожежної сигналізації, прилад пожежної системи, панель пожежної сигналізації, блок пожежної сигналізації, система пожежної сигналізації, пульт пожежної сигналізації";пожарный пкп;пожежний пкп;Виробник
47;302306;https://prom.ua/Ohrannye-sistemy-i-signalizatsii;Додаткові пожежні пристрої;"пожарные извещатели, датчик дыма пожарный, датчик температуры пожарный, сигнализатор пожара, датчик огня, извещатель дымовой, извещатель тепловой, система пожарного оповещения";"пожежні сповіщувачі, датчик диму пожежний, датчик температури пожежний, сигналізатор пожежі, датчик вогню, сповіщувач димовий, сповіщувач тепловий, система пожежного оповіщення";пожарный извещатель;пожежний сповіщувач;Виробник
48;302306;https://prom.ua/Ohrannye-sistemy-i-signalizatsii;Аксесуари для охороної сигналізації;"аксессуары для сигнализации, комплектующие сигнализации, монтажные аксессуары сигнализации, блоки питания сигнализации, корпуса для сигнализации, крепления сигнализации, кабели для сигнализации, элементы системы сигнализации";"аксесуари для сигналізації, комплектуючі сигналізації, монтажні аксесуари сигналізації, блоки живлення сигналізації, корпуси для сигналізації, кріплення сигналізації, кабелі для сигналізації, елементи системи сигналізації";аксессуары сигнализации;аксесуари сигналізації;Виробник
49;301010;https://prom.ua/Mehanicheskie-zamki;електромеханічний замок;"электромеханический замок, замок электромеханический дверной, замок с электроприводом, электрозамок для двери, накладной электромеханический замок, врезной электромеханический замок, замок с дистанционным открытием, электромеханический замок контроль доступа";"електромеханічний замок, замок електромеханічний дверний, замок з електроприводом, електрозамок для дверей, накладний електромеханічний замок, врізний електромеханічний замок, замок з дистанційним відкриттям, електромеханічний замок контроль доступу";электромеханический замок;електромеханічний замок;"Виробник, Тип устройства"
50;301010;https://prom.ua/Mehanicheskie-zamki;електромагнітний замок;"электромагнитный замок, магнитный замок для двери, замок электромагнитный дверной, магнитный замок контроль доступа, электрозамок магнитный, накладной магнитный замок, замок с удержанием двери, магнитный замок система доступа";"електромагнітний замок, магнітний замок для дверей, замок електромагнітний дверний, магнітний замок контроль доступу, електрозамок магнітний, накладний магнітний замок, замок з утриманням дверей, магнітний замок система доступу";электромагнитный замок;електромагнітний замок;"Виробник, Тип устройства"
51;301010;https://prom.ua/Mehanicheskie-zamki;механічний замок;"механический замок дверной, замок дверной механический, врезной механический замок, накладной замок дверной, цилиндровый замок, замок для входной двери, замок с ключом, механический замок безопасности";"механічний замок дверний, замок дверний механічний, врізний механічний замок, накладний замок дверний, циліндровий замок, замок для вхідних дверей, замок з ключем, механічний замок безпеки";механический замок;механічний замок;"Виробник, Тип устройства"
52;301301;https://prom.ua/Turnikety;турникети;"турникет контроль доступа, турникет проходной, турникет трипод, турникет электронный, турникет для офиса, турникет система доступа, турникет автоматический, турникет входной";"турнікет контроль доступу, турнікет прохідний, турнікет трипод, турнікет електронний, турнікет для офісу, турнікет система доступу, турнікет автоматичний, турнікет вхідний";турникет;турнікет;Виробник
53;3030;https://prom.ua/Sistemy-kontrolya-dostupa;Термінали;"терминал контроля доступа, терминал учета рабочего времени, биометрический терминал, терминал распознавания лица, терминал доступа, устройство контроля доступа, терминал с картой доступа, терминал скуд";"термінал контролю доступу, термінал обліку робочого часу, біометричний термінал, термінал розпізнавання обличчя, термінал доступу, пристрій контролю доступу, термінал з карткою доступу, термінал скуд";терминал доступа;термінал доступу;Виробник
54;302308;https://prom.ua/Trevozhnye-knopki-i-knopki-vyhoda;Контактна кнопка виходу;"кнопка выхода контактная, кнопка выхода механическая, кнопка выхода для двери, кнопка открытия двери, кнопка выхода накладная, кнопка выхода система доступа, кнопка управления дверью, кнопка выхода проводная";"кнопка виходу контактна, кнопка виходу механічна, кнопка виходу для дверей, кнопка відкриття дверей, кнопка виходу накладна, кнопка виходу система доступу, кнопка керування дверима, кнопка виходу провідна";кнопка выхода;кнопка виходу;"Виробник, Тип устройства"
55;302308;https://prom.ua/Trevozhnye-knopki-i-knopki-vyhoda;Безконтактна кнопка виходу;"кнопка выхода бесконтактная, сенсорная кнопка выхода, инфракрасная кнопка выхода, кнопка выхода без касания, кнопка открытия двери сенсорная, кнопка выхода ик, кнопка выхода автоматическая, кнопка выхода система доступа";"кнопка виходу безконтактна, сенсорна кнопка виходу, інфрачервона кнопка виходу, кнопка виходу без дотику, кнопка відкриття дверей сенсорна, кнопка виходу ік, кнопка виходу автоматична, кнопка виходу система доступу";бесконтактная кнопка выхода;безконтактна кнопка виходу;"Виробник, Тип устройства"
56;301311;https://prom.ua/Schityvateli;Считыватели;"считыватель карт доступа, считыватель rfid, считыватель бесконтактных карт, считыватель ключей доступа, считыватель системы доступа, считыватель контроля доступа, считыватель proximity, считыватель rfid карт";"зчитувач карт доступу, зчитувач rfid, зчитувач безконтактних карт, зчитувач ключів доступу, зчитувач системи доступу, зчитувач контролю доступу, зчитувач proximity, зчитувач rfid карт";считыватель;зчитувач;Виробник
57;301312;https://prom.ua/Kontrollery;Контролери;"контроллер доступа, контроллер скуд, контроллер управления доступом, сетевой контроллер доступа, контроллер дверей, контроллер системы доступа, контроллер rfid, контроллер учета доступа";"контролер доступу, контролер скуд, контролер управління доступом, мережевий контролер доступу, контролер дверей, контролер системи доступу, контролер rfid, контролер обліку доступу";контроллер;контролер;Виробник
58;3030;https://prom.ua/Sistemy-kontrolya-dostupa;Комплектуючі для СККД;"комплектующие скуд, аксессуары системы доступа, модули скуд, платы контроля доступа, блоки питания скуд, кабели скуд, элементы системы доступа, запчасти скуд";"комплектуючі скуд, аксесуари системи доступу, модулі скуд, плати контролю доступу, блоки живлення скуд, кабелі скуд, елементи системи доступу, запчастини скуд";комплектующие скуд;комплектуючі скуд;Виробник
