№;Ідентифікатор_підрозділу;Посилання_підрозділу;Тип устройства;universal_phrases_ru;universal_phrases_ua;base_keyword_ru;base_keyword_ua;allowed_specs
14;302307;https://prom.ua/Brelki-pulty-dlya-ohrannyh-sistem;Брелок;"брелок ajax, брелок для сигнализации ajax, беспроводной брелок ajax, пульт ajax, брелок управления ajax, keyfob ajax, брелок безопасности ajax, брелок аякс";"брелок ajax, брелок для сигналізації ajax, бездротовий брелок ajax, пульт ajax, брелок керування ajax, keyfob ajax, брелок безпеки ajax, брелок аякс";брелок;брелок;"Виробник, Тип устройства"
15;301305;https://prom.ua/Klaviatury-kodonabornye;Клавіатура для сигналізації;"клавиатура ajax, клавиатура для сигнализации ajax, беспроводная клавиатура ajax, панель управления ajax, кодовая клавиатура ajax, keypad ajax, клавиатура безопасности ajax, клавиатура аякс";"клавіатура ajax, клавіатура для сигналізації ajax, бездротова клавіатура ajax, панель керування ajax, кодова клавіатура ajax, keypad ajax, клавіатура безпеки ajax, клавіатура аякс";клавиатура;клавіатура;"Виробник, Тип устройства"
16;300418;https://prom.ua/Sistemy-zashchity-ot-potopa;Датчики затоплення;"датчик протечки ajax, защита от потопа ajax, беспроводной датчик протечки ajax, система от затопления ajax, датчик воды ajax, water leak ajax, защита воды аякс, ajax water, кран перекрытия воды";"датчик протікання ajax, захист від потопу ajax, бездротовий датчик протікання ajax, система від затоплення ajax, датчик води ajax, water leak ajax, захист води аякс, ajax water, кран перекриття води";датчик потопа;датчик потопу;"Виробник, Тип устройства"
17;300418;https://prom.ua/Sistemy-zashchity-ot-potopa;Крани перекриття води;"кран перекрытия воды ajax, кран перекрытия воды аякс, автоматический кран воды ajax, клапан перекрытия воды ajax, умный кран воды ajax, электрокран воды ajax, кран от протечек ajax, система перекрытия воды ajax, кран с приводом ajax, защита от протечек ajax";"кран перекриття води ajax, кран перекриття води аякс, автоматичний кран води ajax, клапан перекриття води ajax, розумний кран води ajax, електрокран води ajax, кран від протікання ajax, система перекриття води ajax, кран з приводом ajax, захист від протікання ajax";кран перекрытия воды;кран перекриття води;"Виробник, Тип устройства"
18;301101;https://prom.ua/Videoregistratory;Відеореєстратори;"видеорегистратор ajax, регистратор ajax, система видеонаблюдения ajax, видеорегистратор безопасности ajax, видеосистема ajax, nvr ajax, видеорегистратор аякс, ajax video";"відеореєстратор ajax, реєстратор ajax, система відеоспостереження ajax, відеореєстратор безпеки ajax, відеосистема ajax, nvr ajax, відеореєстратор аякс, ajax video";видеорегистратор;відеореєстратор;"Виробник, Тип устройства, Кількість каналів, Тип відеореєстратора, Підтримка PoE"
19;301105;https://prom.ua/Kamery-videonablyudeniya;Відеокамери;"камера ajax, беспроводная камера ajax, видеокамера ajax, камера безопасности ajax, видеонаблюдение ajax, ip камера ajax, камера аякс, ajax camera";"камера ajax, бездротова камера ajax, відеокамера ajax, камера безпеки ajax, відеоспостереження ajax, ip камера ajax, камера аякс, ajax camera";видеокамера;відеокамера;"Виробник, Тип устройства, Роздільна здатність (Мп), Тип камери, Фокусна відстань, Кут огляду по горизонталі, Вбудований мікрофон, Наявність ІЧ-підсвічування, Порт для SD-карти, Бездротовий інтерфейс, Захист обладнання від води і пилу IP, Кодек стиснення, Форм-фактор"
20;153719;https://prom.ua/Datchiki-kachestva-vozduha;Датчики якості повітря;"датчик качества воздуха ajax, датчик воздуха ajax, монитор воздуха ajax, беспроводной датчик ajax, air quality ajax, датчик климата ajax, контроль воздуха ajax, ajax air";"датчик якості повітря ajax, датчик повітря ajax, монітор повітря ajax, бездротовий датчик ajax, air quality ajax, датчик клімату ajax, контроль повітря ajax, ajax air";датчик воздуха;датчик повітря;"Виробник, Тип устройства"
21;410612;https://prom.ua/Nastennye-vyklyuchateli;Реле;"выключатель ajax, умный выключатель ajax, беспроводной выключатель ajax, выключатель света ajax, smart switch ajax, выключатель аякс, управление светом ajax, ajax switch";"вимикач ajax, розумний вимикач ajax, бездротовий вимикач ajax, вимикач світла ajax, smart switch ajax, вимикач аякс, керування світлом ajax, ajax switch";выключатель;вимикач;"Виробник, Тип устройства"
22;410612;https://prom.ua/Nastennye-vyklyuchateli;Розумний вимикач (wi fi);"умный выключатель wifi ajax, умный выключатель wifi аякс, wifi выключатель света ajax, беспроводной выключатель ajax, выключатель с приложением ajax, wifi управление светом ajax, сенсорный выключатель wifi ajax, smart switch wifi ajax, дистанционный выключатель ajax, выключатель с голосом ajax";"розумний вимикач wifi ajax, розумний вимикач wifi аякс, wifi вимикач світла ajax, бездротовий вимикач ajax, вимикач з додатком ajax, wifi керування світлом ajax, сенсорний вимикач wifi ajax, smart switch wifi ajax, дистанційний вимикач ajax, вимикач з голосом ajax";умный выключатель wifi;розумний вимикач wifi;"Виробник, Тип устройства"
23;410612;https://prom.ua/Nastennye-vyklyuchateli;Кнопки для вимикача;"кнопка выключателя ajax, кнопка выключателя аякс, клавиша выключателя ajax, кнопка света ajax, клавиша света ajax, кнопка настенная ajax, кнопка управления светом ajax, кнопка переключателя ajax, кнопка модульная ajax, кнопка включения света ajax";"кнопка вимикача ajax, кнопка вимикача аякс, клавіша вимикача ajax, кнопка світла ajax, клавіша світла ajax, кнопка настінна ajax, кнопка керування світлом ajax, кнопка перемикача ajax, кнопка модульна ajax, кнопка вмикання світла ajax";кнопка выключателя;кнопка вимикача;"Виробник, Тип устройства"
24;410612;https://prom.ua/Nastennye-vyklyuchateli;Рамки для вимикачів та розеток;"рамка для розеток ajax, рамка для розеток аякс, рамка выключателя ajax, декоративная рамка розетки ajax, рамка настенная ajax, рамка электрическая ajax, рамка модульная ajax, рамка многопостовая ajax, рамка для выключателя ajax, рамка монтажная ajax";"рамка для розеток ajax, рамка для розеток аякс, рамка вимикача ajax, декоративна рамка розетки ajax, рамка настінна ajax, рамка електрична ajax, рамка модульна ajax, рамка багатопостова ajax, рамка для вимикача ajax, рамка монтажна ajax";рамка для розеток;рамка для розеток;"Виробник, Тип устройства"
25;53004;https://prom.ua/Rozetki-elektricheskie;Вбудовані розумні розетки;"розетка ajax, умная розетка ajax, беспроводная розетка ajax, smart plug ajax, розетка управления ajax, розетка аякс, электрическая розетка ajax, ajax socket";"розетка ajax, розумна розетка ajax, бездротова розетка ajax, smart plug ajax, розетка керування ajax, розетка аякс, електрична розетка ajax, ajax socket";розетка;розетка;"Виробник, Тип устройства"
26;53004;https://prom.ua/Rozetki-elektricheskie;Панелі для розетки;"передняя панель розетки ajax, боковая панель розетки ajax, центральная панель розетки ajax, панель для встроенной розетки ajax, сменная панель розетки ajax, декоративная панель розетки ajax, лицевая панель розетки ajax, панель оформления розетки ajax, комплект панелей розетки ajax, аксессуары для розеток ajax";"передня панель розетки ajax, бокова панель розетки ajax, центральна панель розетки ajax, панель для вбудованої розетки ajax, змінна панель розетки ajax, декоративна панель розетки ajax, лицьова панель розетки ajax, панель оформлення розетки ajax, комплект панелей розетки ajax, аксесуари для розеток ajax";панель для розетки;панель для розетки;"Виробник, Тип устройства"
27;53004;https://prom.ua/Rozetki-elektricheskie;Заглушки;"заглушка монтажной коробки ajax, крышка монтажной коробки ajax, заглушка подрозетника ajax, декоративная заглушка ajax, крышка для подрозетника ajax, защитная заглушка ajax, заглушка для электрической коробки ajax, аксессуары монтажной коробки ajax, крышка розеточной коробки ajax, заглушка установочной коробки ajax";"заглушка монтажної коробки ajax, кришка монтажної коробки ajax, заглушка підрозетника ajax, декоративна заглушка ajax, кришка для підрозетника ajax, захисна заглушка ajax, заглушка для електричної коробки ajax, аксесуари монтажної коробки ajax, кришка розеткової коробки ajax, заглушка установчої коробки ajax";заглушка монтажной коробки;заглушка монтажної коробки;"Виробник, Тип устройства"
28;300921;https://prom.ua/Pozharnye-izveschateli;"Датчики тепла, диму та чадного газу";"пожарный датчик ajax, датчик дыма ajax, датчик газа ajax, пожарная сигнализация ajax, беспроводной пожарный датчик ajax, fire sensor ajax, пожарный извещатель аякс, ajax fire";"пожежний датчик ajax, датчик диму ajax, датчик газу ajax, пожежна сигналізація ajax, бездротовий пожежний датчик ajax, fire sensor ajax, пожежний сповіщувач аякс, ajax fire";пожарный датчик;пожежний датчик;"Виробник, Тип устройства"
29;302309;https://prom.ua/Koroba-i-korpusa-dlya-ohrannyh-sistem;Корпуси DummyBox;"корпус ajax, короб для сигнализации ajax, монтажный корпус ajax, корпус оборудования ajax, защитный корпус ajax, enclosure ajax, корпус аякс, ajax box";"корпус ajax, короб для сигналізації ajax, монтажний корпус ajax, корпус обладнання ajax, захисний корпус ajax, enclosure ajax, корпус аякс, ajax box";корпус;корпус;"Виробник, Тип устройства"
30;14190901;https://prom.ua/Rele-napryazheniya;Реле і розумні розетки;"реле ajax, беспроводное реле ajax, реле управления ajax, реле нагрузки ajax, smart relay ajax, реле аякс, управление питанием ajax, ajax relay";"реле ajax, бездротове реле ajax, реле керування ajax, реле навантаження ajax, smart relay ajax, реле аякс, керування живленням ajax, ajax relay";реле;реле;"Виробник, Тип устройства"
31;1507;https://prom.ua/Batarejki;Батарейки;"батарейка аякс, ajax батарейка, батарейка для датчика ajax, питание датчиков аякс, аккумулятор для датчика аякс, батарейка для сирені аякс, батарейка для датчика дыма ajax";"батарейка аякс, ajax батарейка, батарейка для датчика ajax, живлення датчиків аякс, акумулятор для датчика аякс, батарейка для сирени аякс, батарейка для датчика диму ajax";батарейка;батарейка;"Виробник, Тип устройства"
32;14191103;https://prom.ua/Promyshlennye-istochniki-pitaniya;Електроживлення;"блок питания ajax для хаба, источник питания ajax для hub, питание сигнализации ajax, плата питания для хаба аякс,  питание централи аякс, ajax power";"блок живлення ajax для хаба, джерело живлення ajax для hub, живлення сигналізації ajax, плата живлення для хаба аякс, живлення централі якс, ajax power";блок питания;блок живлення;"Виробник, Тип устройства"
33;302306;https://prom.ua/Ohrannye-sistemy-i-signalizatsii;Комплектуючі Ajax;"комплектующие ajax, комплектующие аякс, аксессуары ajax, модули ajax, устройства ajax, дополнительные элементы ajax, аксессуары сигнализации ajax, комплектующие системы ajax, запчасти ajax, оборудование ajax";"комплектуючі ajax, комплектуючі аякс, аксесуари ajax, модулі ajax, пристрої ajax, додаткові елементи ajax, аксесуари сигналізації ajax, комплектуючі системи ajax, запчастини ajax, обладнання ajax";комплектующие ajax;комплектуючі ajax;"Виробник, Тип устройства"
34;302303;https://prom.ua/Priemno-kontrolnye-pribory-i-pribory-upravleniya;Бездротові пожежні централі;"беспроводная пожарная панель ajax, беспроводная пожарная панель аякс, пожарная централь беспроводная ajax, система пожарной сигнализации ajax, пожарный контроллер ajax, централь пожарная ajax, панель пожарной сигнализации ajax, контроллер пожарки ajax, беспроводная пожарка ajax, пожарная сигнализация центр ajax";"бездротова пожежна панель ajax, бездротова пожежна панель аякс, пожежна централь бездротова ajax, система пожежної сигналізації ajax, пожежний контролер ajax, централь пожежна ajax, панель пожежної сигналізації ajax, контролер пожежки ajax, бездротова пожежка ajax, пожежна сигналізація центр ajax";пожарная централь;пожежна централь;"Виробник, Тип устройства"
35;7190603;https://prom.ua/Setevye-kontsentratory;Ретранслятори (підсилювачі сигналу);"ретранслятор сигнала ajax, ретранслятор сигнала аякс, усилитель сигнала ajax, повторитель сигнала ajax, репитер сигнализации ajax, усилитель связи ajax, ретранслятор wifi ajax, повторитель сети ajax, усилитель радиосигнала ajax, репитер связи ajax";"ретранслятор сигналу ajax, ретранслятор сигналу аякс, підсилювач сигналу ajax, повторювач сигналу ajax, репітер сигналізації ajax, підсилювач зв’язку ajax, ретранслятор wifi ajax, повторювач мережі ajax, підсилювач радіосигналу ajax, репітер зв’язку ajax";ретранслятор сигнала;ретранслятор сигналу;"Виробник, Тип устройства"
36;300921;https://prom.ua/Pozharnye-izveschateli;"Датчики тепла, диму та чадного газу";"датчик дыма ajax, датчик дыма аякс, датчик угарного газа ajax, датчик тепла ajax, пожарный датчик ajax, сенсор дыма ajax, детектор газа co ajax, датчик пожарный комбинированный ajax, извещатель дыма ajax, датчик температуры пожарный ajax";"датчик диму ajax, датчик диму аякс, датчик чадного газу ajax, датчик тепла ajax, пожежний датчик ajax, сенсор диму ajax, детектор газу co ajax, датчик пожежний комбінований ajax, сповіщувач диму ajax, датчик температури пожежний ajax";датчик дыма;датчик диму;"Виробник, Тип устройства"
37;300921;https://prom.ua/Pozharnye-izveschateli;Вуличні пожарні сирени;"уличная пожарная сирена, внешняя сирена сигнализации, сирена пожарная наружная, сирена тревоги улица, сирена охранная уличная, звуковая сирена наружная, сирена сигнализации уличная, сирена пожарка, сирена тревожная улица, наружный оповещатель";"вулична пожежна сирена, зовнішня сирена сигналізації, сирена пожежна зовнішня, сирена тривоги вулиця, сирена охоронна вулична, звукова сирена зовнішня, сирена сигналізації вулична, сирена пожежка, сирена тривожна вулиця, зовнішній оповіщувач";уличная сирена;вулична сирена;"Виробник, Тип устройства"
38;3029;https://prom.ua/Domofony-videodomofony;Відеодзвінки;"видеозвонок на телефон, домофонная система без монитора, видеозвонок для квартиры, видеозвонок для дома, внутренний видеозвонок, видеозвонок с вызовом на смартфон";"відеодзвінок на телефон, домофонна система без монітора, відеодзвінок для квартири, відеодзвінок для дому, внутрішній відеодзвінок, відеодзвінок із викликом на смартфон";видеозвонок;відеодзвінок;"Виробник, Тип устройства"
39;5280501;https://prom.ua/Akkumulyatornye-bloki;Акумулятори Ajax;"аккумуляторный блок аякс, аккумулятор для хаба аякс, батарея  для хаба ajax,  аккумуляторная батарея аякс, акумулятор Ajax для hub, аякс аккумулятор";"акумуляторний блок аякс, акумулятор для хаба аякс, батарея для хаба ajax, акумуляторна батарея аякс, акумулятор Ajax для hub, аякс акумулятор";аккумулятор;акумулятор;"Виробник, Тип устройства, Тип акумулятора, Ємність акумулятору, Напруга"
40;301101;https://prom.ua/Videoregistratory;Реєстратори;"видеорегистратор для видеонаблюдения, регистратор камер наблюдения, гибридный  видеорегистратор, мультиформатный видеорегистратор,  цифровой видеорегистратор, регистратор системы безопасности, видеорегистратор для камер, устройство записи видеонаблюдения";"відеореєстратор для відеоспостереження, реєстратор камер спостереження, гібридний відеореєстратор, мультиформатний відеореєстратор, цифровий відеореєстратор, реєстратор системи безпеки, відеореєстратор для камер, пристрій запису відеоспостереження";видеорегистратор;відеореєстратор;"Виробник, Тип устройства, Кількість каналів, Тип відеореєстратора, Підтримка PoE"
41;301105;https://prom.ua/Kamery-videonablyudeniya;Камери;"камера , беспроводная камера , видеокамера , камера безопасности , видеонаблюдение , ip камера , камера ,  camera";"камера , бездротова камера , відеокамера , камера безпеки , відеоспостереження , ip камера , камера ,  camera";видеокамера;відеокамера;"Виробник, Тип устройства, Роздільна здатність (Мп), Тип камери, Фокусна відстань, Кут огляду по горизонталі, Вбудований мікрофон, Наявність ІЧ-підсвічування, Порт для SD-карти, Бездротовий інтерфейс, Захист обладнання від води і пилу IP, Кодек стиснення, Форм-фактор"
42;301101;https://prom.ua/Videoregistratory;Комплекти відеонагляду;"комплект видеонаблюдения, система видеонаблюдения комплект, готовый комплект камер, набор видеонаблюдения, комплект ip видеонаблюдения, комплект камер с регистратором, система безопасности комплект, комплект видеонаблюдения для дома";"комплект відеоспостереження, система відеоспостереження комплект, готовий комплект камер, набір відеоспостереження, комплект ip відеоспостереження, комплект камер з реєстратором, система безпеки комплект, комплект відеоспостереження для дому";комплект видеонаблюдения;комплект відеоспостереження;"Виробник, Тип устройства, Кількість каналів, Тип відеореєстратора, Підтримка PoE"
43;301112;https://prom.ua/Kozhuhi-i-kronshtejny;Кронштейни для камер;"кожух для камеры, кронштейн для камеры, крепление для видеокамеры, держатель видеокамеры наблюдения, монтажный кронштейн для камеры, козырек для видеокамеры";"кожух для камери, кронштейн для камери, кріплення для відеокамери, тримач відеокамери спостереження, монтажний кронштейн для камери, піддашок для відеокамери";кронштейн;кронштейн;"Виробник, Матеріал, Тип кріплення кронштейна, Маx нагрузка на кронштейн"
44;5092913;https://prom.ua/Korobki-montazhnye;Розподільні коробки для камер;"распределительная коробка для видеокамер, коммутационная коробка под видеокамеру, монтажная коробка для камеры видеонаблюдения, герметичная коробка для камер, водонепроницаемая коробка IP камер, коробка подключения видеокамеры";"розподільна коробка для відеокамер, комутаційна коробка під відеокамеру, монтажна коробка для відеоспостереження, герметична коробка для камер, водонепроникна коробка IP камер, коробка підключення відеокамери";коробка для камеры;коробка для камери;"Виробник, Тип устройства, Матеріал корпусу, Максимально допустиме навантаження"
45;301110;https://prom.ua/Pulty-dlya-sistem-videonablyudeniya;Пульти управління;"пульт управления, джойстик для камеры, пульт для видеонаблюдения, контроллер ptz, пульт управления камерой";"пульт керування, джойстик для камери, пульт для відеоспостереження, контролер ptz, пульт керування камерою";пульт управления;пульт керування;"Виробник, Тип устройства"
46;301311;https://prom.ua/Schityvateli;;"считыватель карт доступа, считыватель rfid, считыватель бесконтактных карт, считыватель ключей доступа, считыватель системы доступа, считыватель контроля доступа, считыватель proximity, считыватель rfid карт";"зчитувач карт доступу, зчитувач rfid, зчитувач безконтактних карт, зчитувач ключів доступу, зчитувач системи доступу, зчитувач контролю доступу, зчитувач proximity, зчитувач rfid карт";считыватель;зчитувач;Виробник
47;3029;https://prom.ua/Domofony-videodomofony;Відеопанель кольорова виклична;"вызывная панель с камерой, панель вызова для домофона, кнопка вызова с камерой, уличная вызывная панель, наружная вызывная панель, антивандальная вызывная панель, кнопка домофона, вызывной блок с камерой, панель видеодомофона";"виклична панель з камерою, панель виклику для домофону, кнопка виклику з камерою, вулична виклична панель, зовнішня виклична панель, антивандальна виклична панель, кнопка домофону, викличний блок з камерою, панель відеодомофону";вызывная панель;виклична панель;"Виробник, Тип устройства, Кількість абонентів, Кут огляду камери по горизонталі, Кут огляду камери, Роздільна здатність камери (ТВЛ), Роздільна здатність камери (Мп), Протокол зв'язку"
48;3029;https://prom.ua/Domofony-videodomofony;Відеодомофон;"домофон, монитор домофона, домофонная система, видеодомофон для квартиры, видеодомофон для дома, внутренний видеодомофон, цветной видеодомофон, комплект домофона, домофон с экраном";"домофон, монітор домофону, домофонна система, відеодомофон для квартири, відеодомофон для дому, внутрішній відеодомофон, кольоровий відеодомофон, комплект домофону, домофон з екраном";видеодомофон;відеодомофон;"Виробник, Тип устройства, Діагональ екрану (дюйм), Порт для SD-карти, Інтерфейс, Протокол зв'язку"
49;301312;https://prom.ua/Kontrollery;;"контроллер доступа, контроллер скуд, контроллер управления доступом, сетевой контроллер доступа, контроллер дверей, контроллер системы доступа, контроллер rfid, контроллер учета доступа";"контролер доступу, контролер скуд, контролер управління доступом, мережевий контролер доступу, контролер дверей, контролер системи доступу, контролер rfid, контролер обліку доступу";контроллер;контролер;Виробник
50;71903;https://prom.ua/Kommutatory;;"коммутатор сетевой, свитч ethernet, коммутатор lan, сетевой switch, управляемый коммутатор, неуправляемый коммутатор, коммутатор для сети, коммутатор 24 порта";"комутатор мережевий, світч ethernet, комутатор lan, мережевий switch, керований комутатор, некерований комутатор, комутатор для мережі, комутатор 24 порти";коммутатор;комутатор;Виробник
51;301101;https://prom.ua/Videoregistratory;Комплекти відеонагляду;"комплект видеонаблюдения, система видеонаблюдения комплект, готовый комплект камер, набор видеонаблюдения, комплект ip видеонаблюдения, комплект камер с регистратором, система безопасности комплект, комплект видеонаблюдения для дома";"комплект відеоспостереження, система відеоспостереження комплект, готовий комплект камер, набір відеоспостереження, комплект ip відеоспостереження, комплект камер з реєстратором, система безпеки комплект, комплект відеоспостереження для дому";комплект видеонаблюдения;комплект відеоспостереження;"Виробник, Тип устройства, Кількість каналів, Тип відеореєстратора, Підтримка PoE"
52;301101;https://prom.ua/Videoregistratory;Автомобільні відеореєстратори;"автомобильный видеорегистратор, регистратор в авто, видеорегистратор для машины, авто регистратор, dash cam, регистратор движения, камера в авто, видеорегистратор ночной, регистратор hd авто, видеорегистратор gps";"автомобільний відеореєстратор, реєстратор в авто, відеореєстратор для машини, авто реєстратор, dash cam, реєстратор руху, камера в авто, відеореєстратор нічний, реєстратор hd авто, відеореєстратор gps";видеорегистратор автомобильный;відеореєстратор автомобільний;"Виробник, Тип устройства"
53;301101;https://prom.ua/Videoregistratory;Персональні відеореєстратори;"персональный видеорегистратор, носимый регистратор, body camera, видеорегистратор портативный, регистратор на одежду, камера на тело, видеорегистратор личный, регистратор переносной, камера наблюдения переносная, регистратор компактный";"персональний відеореєстратор, носимий реєстратор, body camera, відеореєстратор портативний, реєстратор на одяг, камера на тіло, відеореєстратор особистий, реєстратор переносний, камера спостереження переносна, реєстратор компактний";персональный видеорегистратор;персональний відеореєстратор;"Виробник, Тип устройства"
